user_id,case_id,upload_times,every_scores,scores_change,final_score
60725,2251,4,0.0|0.0|0.0|100.0,0.0|0.0|100.0,100
60725,2319,4,20.0|0.0|0.0|100.0,-20.0|0.0|100.0,100
60725,2325,1,0.0,,60
60725,2327,2,0.0|100.0,100.0,100
60725,2333,13,0.0|0.0|0.0|0.0|25.0|25.0|25.0|75.0|25.0|25.0|25.0|25.0|100.0,0.0|0.0|0.0|25.0|0.0|0.0|50.0|-50.0|0.0|0.0|0.0|75.0,100
60725,2334,4,0.0|0.0|0.0|75.0,0.0|0.0|75.0,75
60725,2337,9,0.0|0.0|0.0|0.0|0.0|0.0|10.0|20.0|20.0,0.0|0.0|0.0|0.0|0.0|10.0|10.0|0.0,0
60725,2339,2,0.0|50.0,50.0,50
60725,2387,2,25.0|25.0,0.0,25
60725,2399,3,25.0|0.0|25.0,-25.0|25.0,25
60725,2440,1,100.0,,100
60725,2456,2,0.0|80.0,80.0,80
60725,2479,2,0.0|0.0,0.0,0
60725,2481,2,0.0|100.0,100.0,100
60725,2488,2,0.0|0.0,0.0,40
60725,2502,2,20.0|20.0,0.0,20
60725,2504,2,0.0|100.0,100.0,100
60725,2513,1,100.0,,100
60725,2546,9,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|100.0,0.0|0.0|0.0|0.0|0.0|0.0|0.0|100.0,100
60725,2576,2,83.33|100.0,16.67,100
60725,2630,3,0.0|0.0|50.0,0.0|50.0,50
60725,2634,3,0.0|0.0|0.0,0.0|0.0,0
60725,2635,2,0.0|50.0,50.0,50
60725,2639,4,60.0|0.0|60.0|100.0,-60.0|60.0|40.0,100
60725,2641,2,20.0|80.0,60.0,80
60725,2642,5,20.0|40.0|20.0|40.0|40.0,20.0|-20.0|20.0|0.0,40
60725,2643,3,0.0|0.0|100.0,0.0|100.0,100
60725,2645,2,0.0|0.0,0.0,0
60725,2773,1,100.0,,100
60725,2794,1,80.0,,80
60725,2805,2,0.0|20.0,20.0,30
60725,2810,15,0.0|0.0|10.0|10.0|10.0|10.0|10.0|10.0|10.0|10.0|10.0|20.0|50.0|50.0|60.0,0.0|10.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|10.0|30.0|0.0|10.0,60
60725,2811,1,0.0,,0
60725,2908,4,0.0|0.0|0.0|100.0,0.0|0.0|100.0,100
