case_id,mean_data,median_data,mode_data,try_number,pass_number,average_upload_times,test_cases_number
2335,50.0,40.0,40.0,1,1,6.0,5
2349,100.0,100.0,100.0,1,1,1.0,1
2350,0.0,0.0,0.0,1,0,1.0,10
2361,100.0,100.0,100.0,1,1,1.0,5
2374,87.5,87.5,75.0|100.0,1,1,2.0,4
2410,100.0,100.0,100.0,1,1,1.0,5
2413,33.333333333333336,0.0,0.0,1,1,3.0,5
2414,33.333333333333336,0.0,0.0,1,1,3.0,5
2417,50.0,50.0,0.0|100.0,1,1,2.0,5
2418,100.0,100.0,100.0,1,1,1.0,5
2422,100.0,100.0,100.0,1,1,1.0,1
2452,100.0,100.0,100.0,1,1,1.0,5
2475,100.0,100.0,100.0,1,1,1.0,5
2476,100.0,100.0,100.0,1,1,1.0,6
2526,33.333333333333336,20.0,0.0,1,1,6.0,5
2528,100.0,100.0,100.0,1,1,1.0,6
2529,50.0,50.0,0.0|100.0,1,1,2.0,5
2533,100.0,100.0,100.0,1,1,1.0,5
2534,5.0,0.0,0.0,1,1,20.0,5
2535,100.0,100.0,100.0,1,1,1.0,2
2536,100.0,100.0,100.0,1,1,1.0,2
2538,100.0,100.0,100.0,1,1,1.0,5
2539,100.0,100.0,100.0,1,1,1.0,5
2541,25.0,0.0,0.0,1,1,4.0,2
2542,50.0,50.0,0.0|100.0,1,1,2.0,5
2544,33.333333333333336,0.0,0.0,1,1,3.0,7
2545,50.0,50.0,0.0|100.0,1,1,2.0,4
2571,100.0,100.0,100.0,1,1,1.0,7
2573,60.0,60.0,20.0|100.0,1,1,4.0,5
2574,100.0,100.0,100.0,1,1,1.0,5
2577,80.0,80.0,60.0|100.0,1,1,2.0,5
2580,60.0,60.0,60.0,1,1,5.0,5
2581,100.0,100.0,100.0,1,1,1.0,6
2582,33.333333333333336,0.0,0.0,1,1,3.0,5
2583,50.0,50.0,0.0|100.0,1,1,2.0,5
2584,100.0,100.0,100.0,1,1,1.0,5
2585,50.0,50.0,0.0|100.0,1,1,2.0,5
2587,100.0,100.0,100.0,1,1,1.0,5
2591,100.0,100.0,100.0,1,1,1.0,5
2594,100.0,100.0,100.0,1,1,1.0,6
2595,100.0,100.0,100.0,1,1,1.0,4
2606,100.0,100.0,100.0,1,1,1.0,2
2609,87.5,87.5,75.0|100.0,1,1,2.0,4
2613,87.5,87.5,75.0|100.0,1,1,2.0,4
