case_id,mean_data,median_data,mode_data,try_number,pass_number,average_upload_times,test_cases_number
2172,51.42857142857143,40.0,100.0,5,0,4.2,5
2176,40.27777777777778,50.0,50.0,8,0,4.5,2
2307,67.6470588235294,100.0,100.0,9,0,1.8888888888888888,4
2450,67.74193548387096,80.0,80.0,9,0,3.4444444444444446,5
2456,100.0,100.0,100.0,1,0,5.0,5
2804,0.0,0.0,0.0,1,0,2.0,6
2908,27.341772151898734,0.0,0.0,8,0,9.875,5
2061,100.0,100.0,100.0,9,0,1.1111111111111112,1
2063,86.667,100.0,100.0,8,0,1.25,3
2064,81.25,100.0,100.0,8,0,1.5,4
2065,48.0,25.0,0.0,7,0,3.5714285714285716,4
2067,62.5,87.5,100.0,8,0,2.0,4
2068,85.0,100.0,100.0,7,0,1.4285714285714286,2
2069,95.0,100.0,100.0,8,0,1.25,2
2070,47.22270833333334,66.67,66.67,8,0,6.0,3
2080,37.5,0.0,0.0,6,0,2.6666666666666665,1
2081,60.294117647058826,75.0,100.0,7,0,2.4285714285714284,4
2084,49.5,45.0,100.0,5,0,4.0,10
2085,37.77771428571429,22.22,0.0,4,0,8.75,9
2086,53.334,66.67,0.0|100.0,5,0,3.0,3
2087,58.3188679245283,54.55,45.45,5,0,10.6,11
2088,47.69230769230769,50.0,20.0|60.0,4,0,9.75,10
2093,72.72727272727273,100.0,100.0,8,0,1.375,2
2094,73.33333333333333,75.0,100.0,7,0,2.142857142857143,4
2095,81.81818181818181,100.0,100.0,8,0,1.375,2
2096,86.36363636363636,100.0,100.0,8,0,1.375,2
2097,47.58064516129032,50.0,0.0,8,0,3.875,4
2098,39.99975,33.33,0.0,7,0,5.714285714285714,3
2099,100.0,100.0,100.0,8,0,1.375,4
2100,100.0,100.0,100.0,8,0,1.125,3
2105,77.77777777777777,100.0,100.0,7,0,1.2857142857142858,1
2106,93.334,100.0,100.0,8,0,1.25,3
2108,88.88888888888889,100.0,100.0,8,0,1.125,3
2109,90.0,100.0,100.0,8,0,1.25,3
2110,100.0,100.0,100.0,8,0,1.0,3
2111,64.70647058823529,66.67,100.0,8,0,2.125,3
2113,40.625,25.0,0.0,7,0,3.4285714285714284,4
2114,88.89,100.0,100.0,8,0,1.5,3
2116,46.15384615384615,0.0,0.0,6,0,2.1666666666666665,1
2117,100.0,100.0,100.0,7,0,1.0,2
2120,61.53846153846154,66.67,100.0,6,0,2.1666666666666665,3
2121,40.625,25.0,0.0,7,0,3.4285714285714284,4
2122,95.23857142857143,100.0,100.0,6,0,1.1666666666666667,3
2127,90.0,100.0,100.0,8,0,1.25,3
2134,100.0,100.0,100.0,8,0,1.0,2
2140,75.38461538461539,100.0,100.0,6,0,2.1666666666666665,5
2141,80.0,100.0,100.0,7,0,1.4285714285714286,2
2142,58.333333333333336,83.33500000000001,100.0,7,0,1.7142857142857142,3
2145,85.71428571428571,100.0,100.0,6,0,1.1666666666666667,1
2152,35.294117647058826,0.0,0.0,6,0,2.8333333333333335,3
2153,70.58941176470589,66.67,100.0,8,0,2.125,3
2164,54.54545454545455,100.0,100.0,6,0,1.8333333333333333,2
2169,36.111111111111114,0.0,0.0,5,0,3.6,4
2171,50.0,50.0,0.0|100.0,7,0,2.0,3
2173,77.77777777777777,100.0,100.0,7,0,1.2857142857142858,5
2177,49.04761904761905,50.0,0.0,5,0,4.2,10
2179,100.0,100.0,100.0,8,0,1.125,1
2180,29.23076923076923,20.0,20.0,7,0,5.571428571428571,5
2181,41.666666666666664,25.0,0.0,7,0,3.0,4
2182,46.15384615384615,0.0,0.0,6,0,2.1666666666666665,5
2183,58.333333333333336,100.0,100.0,7,0,1.7142857142857142,4
2184,85.0,100.0,100.0,7,0,1.4285714285714286,4
2185,54.166666666666664,62.5,100.0,7,0,1.7142857142857142,4
2186,70.45454545454545,100.0,100.0,7,0,1.5714285714285714,4
2188,33.333333333333336,0.0,0.0,7,0,3.4285714285714284,2
2190,55.391176470588235,83.33,0.0,8,0,4.25,6
2198,30.333333333333332,40.0,40.0,6,0,10.0,5
2199,49.12280701754386,50.0,0.0,7,0,8.142857142857142,10
2200,36.06060606060606,30.0,0.0,7,0,4.714285714285714,10
2203,27.380357142857143,0.0,0.0,6,0,4.666666666666667,3
2209,32.903225806451616,20.0,0.0,6,0,5.166666666666667,5
2211,60.588235294117645,60.0,60.0,7,0,4.857142857142857,5
2212,83.33333333333333,100.0,100.0,7,0,1.2857142857142858,2
2252,47.22222222222222,25.0,0.0|100.0,8,0,2.25,4
2278,77.77777777777777,100.0,100.0,7,0,1.2857142857142858,4
2279,75.0,100.0,100.0,8,0,1.5,5
2280,80.0,100.0,100.0,8,0,1.25,3
2283,72.72727272727273,100.0,100.0,8,0,1.375,5
2338,56.666666666666664,100.0,100.0,8,0,1.875,4
2339,47.499249999999996,50.0,0.0,7,0,5.714285714285714,6
2340,72.5,100.0,100.0,7,0,1.4285714285714286,4
2341,70.0,90.0,100.0,8,0,2.0,5
2342,25.806451612903224,0.0,0.0,8,0,3.875,3
2344,37.27272727272727,0.0,0.0,8,0,2.75,5
2345,47.36842105263158,50.0,0.0,8,0,2.375,6
2346,47.36842105263158,0.0,0.0,8,0,2.375,3
2356,40.645161290322584,20.0,0.0,8,0,3.875,5
2357,88.88888888888889,100.0,100.0,8,0,1.125,3
2358,50.0,50.0,0.0|100.0,8,0,2.0,4
2359,67.1875,75.0,100.0,8,0,2.0,4
2371,66.66666666666667,100.0,100.0,8,0,1.5,4
2373,64.0625,87.5,100.0,7,0,2.2857142857142856,4
2386,58.53658536585366,75.0,75.0,7,0,5.857142857142857,4
2387,37.5,25.0,25.0,7,0,4.0,4
2388,100.0,100.0,100.0,8,0,1.0,4
2389,36.36363636363637,0.0,0.0,8,0,2.75,4
2392,88.88888888888889,100.0,100.0,8,0,1.125,4
2394,61.53846153846154,100.0,100.0,8,0,1.625,4
2395,45.833333333333336,12.5,0.0,8,0,2.25,4
2396,43.137058823529415,0.0,0.0,7,0,2.4285714285714284,3
2412,44.92782608695652,33.33,0.0,6,0,3.8333333333333335,3
2423,50.0,50.0,100.0|0.0,8,0,2.0,5
