case_id,mean_data,median_data,mode_data,try_number,pass_number,average_upload_times,test_cases_number
2061,85.24590163934427,100.0,100.0,46,45,1.326086956521739,1
2063,86.55935483870968,100.0,100.0,46,46,1.3478260869565217,3
2064,78.78787878787878,100.0,100.0,43,43,1.5348837209302326,4
2065,76.20967741935483,100.0,100.0,37,37,1.6756756756756757,4
2067,88.67924528301887,100.0,100.0,41,41,1.2926829268292683,4
2068,66.66666666666667,100.0,100.0,41,41,1.829268292682927,2
2069,96.80851063829788,100.0,100.0,42,42,1.119047619047619,2
2070,53.763548387096776,66.67,100.0,43,43,2.1627906976744184,3
2080,59.523809523809526,100.0,100.0,25,24,1.68,1
2081,68.38235294117646,100.0,100.0,42,42,1.619047619047619,4
2084,32.857142857142854,10.0,0.0,23,21,3.0434782608695654,10
2085,34.207191011235956,11.11,0.0,19,17,4.684210526315789,9
2086,56.910731707317076,66.67,100.0,21,21,1.9523809523809523,3
2087,41.89678260869565,45.45,0.0,15,11,7.666666666666667,11
2088,40.714285714285715,30.0,0.0,8,7,5.25,10
2089,37.0,20.0,0.0,7,7,2.857142857142857,5
2090,57.638888888888886,75.0,100.0,15,15,2.4,4
2091,33.18181818181818,20.0,0.0,12,9,5.5,10
2092,16.296060606060607,0.0,0.0,32,23,5.15625,9
2093,87.75510204081633,100.0,100.0,41,41,1.1951219512195121,2
2094,83.984375,100.0,100.0,38,37,1.6842105263157894,4
2095,91.48936170212765,100.0,100.0,42,42,1.119047619047619,2
2096,93.26923076923077,100.0,100.0,44,44,1.1818181818181819,2
2097,68.18181818181819,100.0,100.0,36,36,1.8333333333333333,4
2098,63.366336633663366,66.67,100.0,41,41,2.4634146341463414,3
2099,88.72549019607843,100.0,100.0,43,43,1.186046511627907,4
2100,94.32617021276596,100.0,100.0,41,41,1.146341463414634,3
2101,91.9998,100.0,100.0,40,39,1.25,3
2102,95.74468085106383,100.0,100.0,42,42,1.119047619047619,2
2103,35.08771929824562,25.0,0.0,18,15,3.1666666666666665,4
2104,41.29313432835821,33.33,0.0,17,15,3.9411764705882355,9
2105,83.6734693877551,100.0,100.0,41,40,1.1951219512195121,1
2106,78.01468085106383,100.0,100.0,30,30,1.5666666666666667,3
2107,95.23816326530613,100.0,100.0,44,44,1.1136363636363635,3
2108,87.58176470588235,100.0,100.0,42,42,1.2142857142857142,3
2109,92.36104166666667,100.0,100.0,40,40,1.2,3
2110,82.18396551724138,100.0,100.0,42,42,1.380952380952381,3
2111,81.667,100.0,100.0,43,43,1.3953488372093024,3
2112,87.75510204081633,100.0,100.0,43,43,1.1395348837209303,2
2113,57.83582089552239,75.0,100.0,30,29,2.2333333333333334,4
2114,94.32659574468084,100.0,100.0,38,38,1.236842105263158,3
2115,40.42375690607735,33.33,0.0,49,40,3.693877551020408,6
2116,83.6734693877551,100.0,100.0,40,40,1.225,1
2117,93.58974358974359,100.0,100.0,36,36,1.0833333333333333,2
2118,93.26923076923077,100.0,100.0,44,44,1.1818181818181819,4
2119,88.65234042553192,100.0,100.0,39,39,1.205128205128205,3
2120,81.88434782608695,100.0,100.0,33,32,1.393939393939394,3
2121,61.8421052631579,100.0,100.0,39,39,1.9487179487179487,4
2122,97.50025,100.0,100.0,37,37,1.0810810810810811,3
2123,93.86792452830188,100.0,100.0,44,44,1.2045454545454546,4
2124,56.73076923076923,62.5,100.0,20,19,2.6,4
2125,86.905,100.0,100.0,21,21,1.3333333333333333,3
2126,78.43098039215687,100.0,100.0,38,38,1.3421052631578947,3
2127,83.08507462686568,100.0,100.0,45,45,1.488888888888889,3
2128,89.0,100.0,100.0,43,43,1.1627906976744187,2
2129,87.5,100.0,100.0,42,42,1.3333333333333333,4
2130,78.07692307692308,100.0,100.0,40,40,1.625,4
2131,81.52173913043478,100.0,100.0,37,37,1.2432432432432432,4
2132,78.84615384615384,100.0,100.0,40,40,1.3,2
2133,95.03553191489361,100.0,100.0,43,43,1.0930232558139534,3
2134,91.96428571428571,100.0,100.0,41,41,1.3658536585365855,2
2135,88.88901960784314,100.0,100.0,42,42,1.2142857142857142,3
2136,92.90787234042553,100.0,100.0,40,40,1.175,3
2137,93.0,100.0,100.0,42,42,1.1904761904761905,4
2138,95.23809523809524,100.0,100.0,39,39,1.0769230769230769,2
2139,78.26086956521739,100.0,100.0,15,15,1.5333333333333334,1
2140,55.88652482269504,60.0,60.0,36,34,3.9166666666666665,5
2141,68.18181818181819,100.0,100.0,43,43,1.5348837209302326,2
2142,36.93657657657658,0.0,0.0,39,37,2.8461538461538463,3
2145,82.0,100.0,100.0,38,38,1.3157894736842106,1
2146,81.70731707317073,100.0,100.0,27,26,1.5185185185185186,2
2147,66.83607142857143,71.43,100.0,20,19,2.8,7
2148,37.11538461538461,40.0,0.0,10,7,5.2,10
2149,69.28853932584269,66.67,100.0,48,40,1.8541666666666667,3
2150,44.32432432432432,40.0,0.0,10,9,3.7,10
2151,79.24528301886792,100.0,100.0,36,36,1.4722222222222223,1
2152,71.96271028037383,100.0,100.0,62,62,1.7258064516129032,3
2153,82.98924137931034,100.0,100.0,88,88,1.6477272727272727,3
2154,97.916875,100.0,100.0,43,43,1.1162790697674418,3
2155,80.85106382978724,100.0,100.0,37,37,1.2702702702702702,1
2156,95.0,100.0,100.0,36,36,1.1111111111111112,1
2157,80.0,100.0,100.0,39,38,1.4102564102564104,4
2158,77.19298245614036,100.0,100.0,36,36,1.5833333333333333,4
2159,88.33333333333333,100.0,100.0,38,38,1.1842105263157894,4
2160,83.9622641509434,100.0,100.0,41,41,1.2926829268292683,2
