user_id,average_score,rank(percent)
61019,93.21238095238095,100 %
60724,89.99999999999999,99.55 %
60589,89.60043956043954,99.10 %
60899,88.49142857142857,98.64 %
60885,88.3612030075188,98.19 %
60750,87.55037658676422,97.74 %
61046,87.34285714285714,97.29 %
60639,85.98857142857143,96.83 %
60746,84.92,96.38 %
61048,84.15428571428572,95.93 %
39200,83.82729634690725,95.48 %
60768,81.98642857142858,95.02 %
60615,81.52571428571429,94.57 %
60686,78.43202653588443,94.12 %
60766,76.82642857142856,93.67 %
60637,76.1974603174603,93.21 %
60794,76.08435299838068,92.76 %
58586,75.10873108402376,92.31 %
60719,72.63529436756205,91.86 %
61132,72.62682767593026,91.40 %
60889,70.92423102358228,90.95 %
60603,66.98666666666666,90.50 %
47996,66.52071428571429,90.05 %
47774,66.1339489606547,89.59 %
58547,65.98925673309846,89.14 %
60691,65.62789985629398,88.69 %
60773,65.48454970577583,88.24 %
60662,65.33008978726295,87.78 %
60720,64.11904715409875,87.33 %
60690,63.65021937752331,86.88 %
39160,63.59966592629519,86.43 %
60781,63.31218079079871,85.97 %
52592,62.68244897959183,85.52 %
49405,62.562081006132516,85.07 %
60628,61.681904761904754,84.62 %
60672,61.66,84.16 %
60791,60.81972755263172,83.71 %
60777,60.475992460595855,83.26 %
60747,59.98915333490601,82.81 %
60667,59.90067523497191,82.35 %
58610,59.85269841269841,81.90 %
60757,59.66274197990276,81.45 %
60598,59.53529893890697,81.00 %
60601,58.74491164448489,80.54 %
59308,58.5033941770022,80.09 %
60658,58.204258149491466,79.64 %
60594,57.99873015873017,79.19 %
58575,57.30349206349206,78.73 %
60846,57.25512364587874,78.28 %
60587,57.07983097666092,77.83 %
60758,56.94031746031745,77.38 %
61659,56.90952380952381,76.92 %
60710,56.64952380952381,76.47 %
60661,56.59857142857143,76.02 %
60717,56.4531791197254,75.57 %
60698,56.27750788395007,75.11 %
60776,56.193434042558216,74.66 %
60580,55.516902893939005,74.21 %
60608,55.38999999999999,73.76 %
60792,54.925714285714285,73.30 %
60699,54.80762579013838,72.85 %
60614,53.791012923881944,72.40 %
60635,53.576726131928304,71.95 %
60620,53.43845293672652,71.49 %
60585,53.41428571428571,71.04 %
60738,52.92632248261592,70.59 %
60641,52.18414587062496,70.14 %
49361,52.10870543043332,69.68 %
60593,50.61849297675937,69.23 %
60697,50.33619047619049,68.78 %
60590,49.908095238095235,68.33 %
60673,49.79172539936637,67.87 %
60896,49.70539656496413,67.42 %
60764,49.55658687848234,66.97 %
60660,48.733881528370084,66.52 %
60755,48.67413498042657,66.06 %
60787,48.53120879120878,65.61 %
60606,47.81177013176104,65.16 %
60591,47.400298938906964,64.71 %
60653,46.74550718087965,64.25 %
60683,46.71456470389472,63.80 %
59137,46.48192408687659,63.35 %
60742,46.416086208020474,62.90 %
59018,45.92468507354553,62.44 %
60756,45.372051865248785,61.99 %
60694,45.318862524129614,61.54 %
60654,44.394285714285715,61.09 %
60617,44.23466589319377,60.63 %
60638,43.82461981771896,60.18 %
60891,43.71412185652508,59.73 %
58616,43.60888888888889,59.28 %
60621,43.284911560309084,58.82 %
60739,43.26393121114726,58.37 %
47961,43.24626757192748,57.92 %
60770,42.862907526749254,57.47 %
60767,42.74766546090205,57.01 %
60610,42.00631311234127,56.56 %
60727,41.285714285714285,56.11 %
60634,41.189774436090225,55.66 %
61135,40.95560439560439,55.20 %
60761,40.84982400401512,54.75 %
60733,40.62288488101502,54.30 %
60631,40.377909689108,53.85 %
60648,40.1898304113675,53.39 %
61406,40.05383458646617,52.94 %
60734,39.82123503886617,52.49 %
59140,39.30603174603174,52.04 %
60665,38.78501912914453,51.58 %
60602,38.5810989010989,51.13 %
