user_id,average_score,rank(percent)
51584,91.09142857142857,100 %
60885,90.85058167204186,99.60 %
61019,86.42183591321887,99.19 %
48102,86.31687289853852,98.79 %
60620,85.91777777777776,98.38 %
60683,84.6742857142857,97.98 %
60751,84.30805194805194,97.57 %
60658,83.96730158730158,97.17 %
60690,83.32278964438544,96.76 %
60697,83.02166523823692,96.36 %
60794,82.79795331563442,95.95 %
39190,82.14285714285714,95.55 %
60889,81.67854117173846,95.14 %
60764,81.4000158154515,94.74 %
8318,81.2552380952381,94.33 %
60756,81.21665687475449,93.93 %
60695,81.10765961006496,93.52 %
60750,80.46326511145337,93.12 %
59140,80.32031746031745,92.71 %
60616,79.84027819577585,92.31 %
60739,79.83055575424557,91.90 %
60720,79.55981702297332,91.50 %
58575,78.48781283572731,91.09 %
60896,77.62800845446255,90.69 %
60591,77.49556723252635,90.28 %
60602,77.36607230847765,89.88 %
60768,76.95189158906884,89.47 %
61659,76.55710260397956,89.07 %
58586,76.4697867592102,88.66 %
60594,76.45436132263143,88.26 %
60639,76.26503705244876,87.85 %
60710,76.1293624215136,87.45 %
60742,76.03587301587302,87.04 %
60757,75.89789241095947,86.64 %
40186,75.8374255689192,86.23 %
60686,75.74286580984298,85.83 %
61048,75.73288622415195,85.43 %
60613,75.07061940831262,85.02 %
60766,74.98577850886984,84.62 %
60719,74.91208137173129,84.21 %
60580,74.89837363735924,83.81 %
60829,74.79121035026019,83.40 %
50263,74.7079708800538,83.00 %
60774,74.44511854456883,82.59 %
60662,74.4239508041489,82.19 %
60637,74.07977252565972,81.78 %
60724,74.03565049863064,81.38 %
58865,73.95047181046655,80.97 %
60651,73.88333266211067,80.57 %
60898,73.65907530974268,80.16 %
60698,73.58926169298347,79.76 %
60791,73.57746400010916,79.35 %
60699,73.120370071064,78.95 %
60661,72.74997107212243,78.54 %
58547,72.74061398112046,78.14 %
60759,72.65319768241739,77.73 %
60608,72.39077788163132,77.33 %
8317,72.30331296310914,76.92 %
39200,72.27759813569953,76.52 %
39160,72.19415599530377,76.11 %
60598,72.10955075149533,75.71 %
60652,71.65207062202826,75.30 %
60723,71.58989672988986,74.90 %
60669,71.53591836734694,74.49 %
60653,71.51568598011974,74.09 %
60649,71.44916517109809,73.68 %
61135,70.6489727606815,73.28 %
60638,70.24412698412698,72.87 %
60752,70.14718763948076,72.47 %
58822,70.10705383464025,72.06 %
59308,69.95800905930592,71.66 %
60693,69.11048353394045,71.26 %
60734,69.05493093688392,70.85 %
60603,69.04121904754408,70.45 %
60781,68.87265499488538,70.04 %
60828,68.36827351802017,69.64 %
60846,68.21098133098322,69.23 %
60776,68.12530974393339,68.83 %
60606,67.89420748336171,68.42 %
60635,67.724566381854,68.02 %
60589,67.67952858259648,67.61 %
49405,67.53397454732752,67.21 %
58778,67.52910096086626,66.80 %
60610,67.36342472204606,66.40 %
48090,67.34479681076783,65.99 %
60761,67.24108366717851,65.59 %
60876,66.94511068498488,65.18 %
60812,66.72569449648384,64.78 %
8246,66.37525888576462,64.37 %
49687,66.30666666666667,63.97 %
60614,66.29433908971485,63.56 %
60777,66.09631511918383,63.16 %
60728,65.6823254572993,62.75 %
61715,65.37006866069896,62.35 %
48083,64.9775459646632,61.94 %
61041,64.97609509713271,61.54 %
60733,64.90493477181349,61.13 %
60631,64.8425850941374,60.73 %
60753,64.41437018666647,60.32 %
60657,64.17721050900441,59.92 %
60660,63.5502270111666,59.51 %
60747,63.51869229038131,59.11 %
60601,63.478355461687954,58.70 %
60773,63.23090932088362,58.30 %
61020,62.880945885110336,57.89 %
60715,62.627244853367934,57.49 %
60755,62.56618402896798,57.09 %
16304,62.338125818952186,56.68 %
60675,62.24227919715272,56.28 %
60835,62.22486566321166,55.87 %
60673,62.13835003903158,55.47 %
59137,62.09428297643861,55.06 %
60738,61.91360648860439,54.66 %
58634,61.68374457870176,54.25 %
61046,61.589578048999186,53.85 %
60634,61.39837456782161,53.44 %
60758,61.306269376488096,53.04 %
60585,61.256354245867215,52.63 %
60584,60.84816326530612,52.23 %
60665,60.662435921332126,51.82 %
60895,60.416219017028936,51.42 %
61143,59.983614838637735,51.01 %
60611,59.57437481093919,50.61 %
58758,59.09333333333333,50.20 %
60795,58.78806748964483,49.80 %
60672,58.77730395922249,49.39 %
52592,58.700621531557395,48.99 %
59018,58.617359254995776,48.58 %
60592,58.543175489524245,48.18 %
49361,58.48680338692119,47.77 %
60667,58.38171428571428,47.37 %
58610,57.99460317460317,46.96 %
60792,57.6272373711122,46.56 %
60604,57.15362110596568,46.15 %
60737,56.987026333621834,45.75 %
60832,56.90524821868833,45.34 %
60717,56.78673118498375,44.94 %
60778,56.39851216921351,44.53 %
60624,56.377915704514955,44.13 %
60644,56.22710020290633,43.72 %
60641,56.00876565094587,43.32 %
8160,55.69983193277311,42.91 %
60706,54.780835321843185,42.51 %
60775,54.73185972243033,42.11 %
60770,54.678053053556994,41.70 %
60722,54.5860741705301,41.30 %
60703,53.71568475303147,40.89 %
60696,53.43263465866531,40.49 %
60691,53.26420626533022,40.08 %
60790,52.90126984126984,39.68 %
60619,52.175490330611936,39.27 %
60767,51.90153845382009,38.87 %
60765,51.84216801436868,38.46 %
60899,51.77862323720779,38.06 %
60746,51.7136740643214,37.65 %
60630,51.597142857142856,37.25 %
61406,51.420701994546334,36.84 %
60870,50.942947381081225,36.44 %
60590,50.88236267747346,36.03 %
60769,50.68199084566379,35.63 %
60731,50.430638821287026,35.22 %
60891,50.2951238941677,34.82 %
60771,50.222222222222214,34.41 %
60593,49.151074994282375,34.01 %
60833,49.041978126041755,33.60 %
60730,48.536826754008985,33.20 %
47920,48.476640785207294,32.79 %
39021,48.33413748499908,32.39 %
60647,48.289581110945846,31.98 %
60727,48.23923862334733,31.58 %
60617,48.02310501894456,31.17 %
60671,47.93420658099969,30.77 %
60721,46.86639667372561,30.36 %
60692,46.433006073611956,29.96 %
61519,45.94954900978094,29.55 %
60605,45.85170309004509,29.15 %
60714,45.577822421189964,28.74 %
60621,45.47423635201231,28.34 %
60648,45.43766092849366,27.94 %
60676,45.36681948650736,27.53 %
60788,45.364052131835415,27.13 %
60762,44.66105228752699,26.72 %
48721,44.40965786359931,26.32 %
47774,44.157131406431674,25.91 %
60688,43.641637244182256,25.51 %
47937,43.410714997391814,25.10 %
58616,43.250476190476185,24.70 %
58585,42.72996678101835,24.29 %
60694,42.659187324918484,23.89 %
60810,42.4585470733186,23.48 %
60643,41.59142857142857,23.08 %
48025,41.37301587301587,22.67 %
60827,41.0159417705348,22.27 %
60900,40.48123377362859,21.86 %
47996,40.04974789915966,21.46 %
60627,38.66057605138526,21.05 %
60787,38.639924589125066,20.65 %
60749,38.30318169831558,20.24 %
60622,38.15391404284971,19.84 %
60581,38.11960038792378,19.43 %
60625,38.08,19.03 %
60901,37.88814153924644,18.62 %
60797,37.47364882207543,18.22 %
60587,37.19174621394421,17.81 %
60636,36.36454179703209,17.41 %
60677,35.857549885374375,17.00 %
60632,35.83271787153166,16.60 %
61132,35.787850913635644,16.19 %
60716,35.68945567889488,15.79 %
60705,35.03802776888112,15.38 %
60595,34.58687989891926,14.98 %
60618,34.31876663885721,14.57 %
60599,33.97531559235171,14.17 %
60799,32.18366191951944,13.77 %
60670,31.912762901840242,13.36 %
60839,31.451842872287887,12.96 %
47961,31.43924068248454,12.55 %
60712,31.34530979043285,12.15 %
60642,29.783129933259676,11.74 %
61053,29.617184943620625,11.34 %
60837,29.54311189724069,10.93 %
48117,29.28890039353215,10.53 %
60678,29.07703347408659,10.12 %
60586,28.998480138487892,9.72 %
60825,28.712589521286606,9.31 %
60654,27.860888654219917,8.91 %
58744,27.205172447761825,8.50 %
49823,27.198808897715832,8.10 %
60785,26.28056849211301,7.69 %
60763,25.611186090281603,7.29 %
60793,25.110781869330044,6.88 %
60707,25.08285714285714,6.48 %
60668,24.30654773401947,6.07 %
60708,23.157984333876207,5.67 %
60666,22.682048681213672,5.26 %
60760,22.516523781771543,4.86 %
61097,21.038311077673406,4.45 %
60725,19.812050381519285,4.05 %
60772,18.077827628726354,3.64 %
60796,17.690692490196263,3.24 %
60623,15.85676822168108,2.83 %
60782,15.844337210745799,2.43 %
60640,14.45142857142857,2.02 %
61094,13.227148049001277,1.62 %
60583,4.475999999999999,1.21 %
3544,0.6617439591726457,0.81 %
60836,0.0,0.40 %
