user_id,average_score,rank(percent)
61097,90.25714285714285,100 %
60794,89.77285714285713,99.59 %
60768,89.69996451938479,99.18 %
60662,89.10571428571427,98.77 %
59137,89.09428571428572,98.35 %
60742,88.74285714285713,97.94 %
60759,88.58492903876959,97.53 %
60673,88.16326530612244,97.12 %
50263,88.12342857142856,96.71 %
47996,87.79571428571428,96.30 %
60683,87.73306122448979,95.88 %
60690,87.5792857142857,95.47 %
49361,87.52645036435506,95.06 %
60589,86.8742857142857,94.65 %
60719,86.42822534487286,94.24 %
60727,85.85428571428572,93.83 %
58586,85.73619047619046,93.42 %
58610,85.52285714285715,93.00 %
39190,85.49714285714286,92.59 %
60594,85.01428571428572,92.18 %
60608,84.80298390362549,91.77 %
60758,84.75333333333333,91.36 %
60766,84.5683116883117,90.95 %
58822,84.56666666666665,90.53 %
60693,84.50190476190475,90.12 %
60720,84.48787836206279,89.71 %
60603,84.43706006904073,89.30 %
60620,84.36214285714286,88.89 %
61659,84.28253968253968,88.48 %
61143,84.00329316610075,88.07 %
61135,83.98071428571428,87.65 %
60710,83.93015873015872,87.24 %
60624,83.91090248836005,86.83 %
60896,83.70857142857143,86.42 %
60657,83.67657142857142,86.01 %
58575,83.66869311590916,85.60 %
60660,83.60761904761904,85.19 %
60777,83.16975214679107,84.77 %
47879,83.13142857142857,84.36 %
60781,82.9238328468873,83.95 %
52592,82.72949167573776,83.54 %
48102,82.62421975480035,83.13 %
60658,81.68088865421991,82.72 %
60724,81.5125,82.30 %
60737,81.34733689566526,81.89 %
58758,80.9761038961039,81.48 %
60889,80.75052865348621,81.07 %
61019,80.34095238095237,80.66 %
60751,80.28571428571428,80.25 %
60728,80.1942147530553,79.84 %
60613,80.0,79.42 %
60602,79.9679022173637,79.01 %
60695,79.95,78.60 %
60750,79.86120433098002,78.19 %
60691,79.8041909656445,77.78 %
60661,79.31002734718899,77.37 %
60755,79.10597402597404,76.95 %
60833,79.0869387755102,76.54 %
60773,78.38057142857143,76.13 %
59308,78.13053972766512,75.72 %
60580,78.01224489795918,75.31 %
59140,78.0055294642926,74.90 %
60653,77.97553005590333,74.49 %
39200,77.82888010741944,74.07 %
60776,77.81951522436339,73.66 %
60895,77.36069026659929,73.25 %
60672,77.260622354665,72.84 %
60722,77.04530395044813,72.43 %
60739,76.88498030575713,72.02 %
60876,76.09662337662337,71.60 %
60753,75.94425481054742,71.19 %
60610,75.72040816326532,70.78 %
60714,75.41661361534493,70.37 %
60757,75.19085714285714,69.96 %
60625,75.15510204081632,69.55 %
60659,74.8046706416097,69.14 %
61041,74.51844155844157,68.72 %
60585,74.23771178929859,68.31 %
60635,73.83977649683132,67.90 %
60676,73.79142857142857,67.49 %
60723,73.76653061224489,67.08 %
8160,73.71714285714286,66.67 %
60591,73.63139639510955,66.26 %
61048,73.61914285714286,65.84 %
60764,73.61341935951882,65.43 %
39160,73.59142857142858,65.02 %
60697,73.37632653061223,64.61 %
60604,72.95673469387755,64.20 %
60679,72.85666491138528,63.79 %
60599,72.68627498941822,63.37 %
60598,72.54233766233766,62.96 %
60611,72.42042140125817,62.55 %
47920,71.58206473878448,62.14 %
60652,71.5133415667357,61.73 %
60643,71.34761904761905,61.32 %
60584,71.32914285714286,60.91 %
60747,71.30084455651085,60.49 %
60634,70.81028571428571,60.08 %
58547,70.68598232249003,59.67 %
60649,70.68010430343234,59.26 %
60787,70.59363930912095,58.85 %
60770,69.87440740162344,58.44 %
60699,69.63820224768644,58.02 %
47774,69.28773407280241,57.61 %
60761,68.71345502067108,57.20 %
60891,68.30190871087203,56.79 %
61715,68.27344406220031,56.38 %
60614,68.0278658678412,55.97 %
60774,67.95476811057038,55.56 %
48721,67.94494209093519,55.14 %
60706,67.7851874528171,54.73 %
60698,67.76172043248506,54.32 %
58778,67.1236428080651,53.91 %
60762,67.11035872668836,53.50 %
61519,66.3505460658918,53.09 %
60721,66.15579774465542,52.67 %
60775,65.49147789200423,52.26 %
60738,65.4897118418729,51.85 %
60630,65.12390861767813,51.44 %
60756,65.12071428571429,51.03 %
60791,64.92322097242786,50.62 %
60590,64.91372506245767,50.21 %
60601,63.968163265306124,49.79 %
60637,63.494361290123884,49.38 %
60799,63.09224489795918,48.97 %
60769,63.01581260902401,48.56 %
60667,62.952653061224495,48.15 %
60730,62.949135098831704,47.74 %
60788,62.92307944259635,47.33 %
60717,62.80019726317591,46.91 %
60767,62.53366958856938,46.50 %
60638,61.98756386811308,46.09 %
40186,61.012299861579976,45.68 %
60692,60.86520661107861,45.27 %
60641,60.82038145272735,44.86 %
60898,60.66310634427832,44.44 %
60703,60.12403491101904,44.03 %
61132,60.053303705964254,43.62 %
60795,59.99657516640668,43.21 %
60885,59.42272736147017,42.80 %
48117,59.17469680574123,42.39 %
60696,58.953098718029224,41.98 %
60812,58.94160675929396,41.56 %
60639,58.91085567092062,41.15 %
60677,58.66933199318149,40.74 %
8318,58.417142857142856,40.33 %
16304,58.417142857142856,40.33 %
48083,58.417142857142856,40.33 %
49687,58.126266052028654,39.09 %
60621,57.87540423394677,38.68 %
48025,57.15047619047619,38.27 %
