user_id,average_score,rank(percent)
60827,46.471111111111114,100 %
60580,45.43882663873157,99.59 %
60628,44.53033878589534,99.18 %
60667,42.91848739495798,98.78 %
60759,42.79079018281093,98.37 %
60591,42.55562583024951,97.96 %
60690,41.30707807504976,97.55 %
60695,41.209762961569716,97.14 %
60683,40.50719833539992,96.73 %
60768,40.42944249988409,96.33 %
60603,40.40225108225108,95.92 %
60651,39.94602547174302,95.51 %
60601,39.87176470588235,95.10 %
60589,39.81399497702992,94.69 %
60625,39.6653781512605,94.29 %
60794,39.59320964600011,93.88 %
60658,39.51470019534401,93.47 %
60697,39.18639657185307,93.06 %
60742,39.1120523323457,92.65 %
60620,38.943214390356566,92.24 %
60714,38.78673592946826,91.84 %
60720,38.36251256689655,91.43 %
61048,37.628603754758764,91.02 %
60706,37.422825051008466,90.61 %
60699,37.10150398377968,90.20 %
60747,36.97796217430845,89.80 %
60649,36.94476655801895,89.39 %
60723,36.920425203076604,88.98 %
60610,36.24714196194927,88.57 %
60738,35.9716664603156,88.16 %
60781,35.79179356410662,87.76 %
60756,35.69957802672021,87.35 %
60764,35.65360503932995,86.94 %
60673,35.64073932312095,86.53 %
60790,35.529529273100366,86.12 %
60753,34.2761199720127,85.71 %
60614,34.224842895242276,85.31 %
60691,33.99039741317032,84.90 %
61519,33.955767523898366,84.49 %
60608,33.62896934982301,84.08 %
61046,33.584205933234,83.67 %
60602,33.284851640734004,83.27 %
60719,32.85594757493664,82.86 %
60662,32.679581594720965,82.45 %
60724,32.65919877031237,82.04 %
60621,32.4727382338814,81.63 %
60737,32.42778405300936,81.22 %
60722,31.81005315222107,80.82 %
61019,31.66243962623147,80.41 %
39200,31.491307699025597,80.00 %
47996,31.431515151515146,79.59 %
61097,31.155849509233963,79.18 %
60733,31.060432900432893,78.78 %
61135,30.7404204311337,78.37 %
60619,30.655266704698565,77.96 %
60594,30.558267613648546,77.55 %
50263,30.544683465009804,77.14 %
60686,30.37626958377016,76.73 %
59137,30.22151499749796,76.33 %
60622,30.16481453725733,75.92 %
49823,30.118121083199185,75.51 %
39160,30.108986366704343,75.10 %
60771,30.104841961452124,74.69 %
60739,30.00494981343274,74.29 %
60791,29.98672590357325,73.88 %
60900,29.98475847516398,73.47 %
60787,29.8399089148158,73.06 %
8160,29.80741213769688,72.65 %
60652,29.775172799846633,72.24 %
52592,29.609655535838684,71.84 %
39190,29.59417042287554,71.43 %
60707,29.464761904761904,71.02 %
58610,29.365066375861968,70.61 %
60832,29.30238452801784,70.20 %
60653,29.293195928752482,69.80 %
60634,29.28917090516395,69.39 %
60616,29.245274725274722,68.98 %
