user_id,average_score,rank(percent)
61019,87.59937271144578,100 %
47996,87.19492063492063,99.62 %
60686,87.03153684615553,99.23 %
60695,86.57518459706613,98.85 %
60713,86.35999999999999,98.46 %
48102,86.23108279138597,98.08 %
58758,85.67839525127326,97.69 %
60676,85.44376874816882,97.31 %
60606,84.90422360248445,96.92 %
60737,84.68401593838276,96.54 %
60885,84.57066239082118,96.15 %
60889,84.51277282494003,95.77 %
60635,84.49448904029914,95.38 %
60773,84.46622651122881,95.00 %
60755,84.34461885748047,94.62 %
60828,84.2565438092412,94.23 %
60634,84.132049689441,93.85 %
47329,83.42582046128486,93.46 %
60759,83.30239024932544,93.08 %
60768,83.267025020662,92.69 %
48090,83.0752380952381,92.31 %
60690,83.02968173388142,91.92 %
50263,82.89247259004766,91.54 %
60662,82.81785626685522,91.15 %
60698,82.53204708606128,90.77 %
60630,82.52743829601587,90.38 %
60591,82.4169579914308,90.00 %
60832,82.27960030645754,89.62 %
39190,81.8816558054421,89.23 %
58575,81.75201246887455,88.85 %
59308,81.61996747878827,88.46 %
60756,81.57489833812504,88.08 %
60594,81.53371660444958,87.69 %
60580,81.52973327923637,87.31 %
61097,81.49428571428571,86.92 %
60616,81.37880699890658,86.54 %
60895,81.32451645945925,86.15 %
47879,81.20786242229453,85.77 %
60661,81.14906755454932,85.38 %
61048,81.02946430813944,85.00 %
60608,80.96259209565567,84.62 %
60876,80.93383547872712,84.23 %
60683,80.86638242475907,83.85 %
60720,80.8209275845058,83.46 %
60620,80.63261904901987,83.08 %
60598,80.55216746998903,82.69 %
60697,80.26339313250627,82.31 %
60757,80.26095557349194,81.92 %
60751,80.18098982570014,81.54 %
60752,80.11807011112447,81.15 %
60667,79.99353549374437,80.77 %
58586,79.96323494591135,80.38 %
39160,79.79983420117739,80.00 %
59140,79.7232345013477,79.62 %
60637,79.69402574234648,79.23 %
60846,79.64002068405507,78.85 %
60777,79.54625273260861,78.46 %
60899,79.26144825273457,78.08 %
39021,79.0946519722863,77.69 %
60624,79.0627971674601,77.31 %
60767,78.97483134803714,76.92 %
60750,78.95296469952099,76.54 %
60723,78.91540878582691,76.15 %
60585,78.90831786757205,75.77 %
60658,78.87285396402415,75.38 %
60739,78.8689023302931,75.00 %
60764,78.69151722087574,74.62 %
61212,78.6322037815334,74.23 %
60776,78.58838539234013,73.85 %
58547,78.50934607481956,73.46 %
60631,78.43480829635426,73.08 %
58610,78.38637186612395,72.69 %
60706,78.12966984397855,72.31 %
60715,78.09925808823812,71.92 %
60639,77.98694502818859,71.54 %
60770,77.93811321158492,71.15 %
60724,77.85912957416166,70.77 %
61053,77.79905395243325,70.38 %
60649,77.65228039399219,70.00 %
60589,77.44256772397571,69.62 %
60781,77.41932714900959,69.23 %
60602,77.38959397980994,68.85 %
60791,77.24106022413912,68.46 %
61659,77.06649046661553,68.08 %
60604,76.88539452244498,67.69 %
60794,76.86786649552914,67.31 %
60812,76.86061841855714,66.92 %
61406,76.41454380078243,66.54 %
60699,76.34789140077405,66.15 %
60603,76.0719362427095,65.77 %
60638,76.00901867596939,65.38 %
60766,76.00791238354165,65.00 %
60900,75.76496556178672,64.62 %
60657,75.32565165004802,64.23 %
60719,75.09322194860111,63.85 %
60601,75.01959815445528,63.46 %
61041,74.93331243155828,63.08 %
60665,74.79305935052231,62.69 %
60659,74.70694192457117,62.31 %
60833,74.61681667514775,61.92 %
60790,74.3211528412834,61.54 %
60898,74.2365219653775,61.15 %
58822,74.21365794429279,60.77 %
60619,74.12341286724882,60.38 %
60653,73.64702523441079,60.00 %
60774,73.41908523199307,59.62 %
58778,73.22295513205704,59.23 %
39200,73.04813084978011,58.85 %
60733,72.94640728818521,58.46 %
60835,72.88978973517118,58.08 %
60810,72.87546370993262,57.69 %
60610,72.83250844979796,57.31 %
60660,72.79391244037849,56.92 %
60870,72.57803366745011,56.54 %
60693,72.28949892053174,56.15 %
60758,72.26334326189769,55.77 %
51584,72.24,55.38 %
60722,72.2245690830109,55.00 %
60747,72.08460404949616,54.62 %
61135,71.8907246555796,54.23 %
60727,71.74034886328214,53.85 %
49405,71.59630422650643,53.46 %
61715,71.27605022023607,53.08 %
58744,71.02612620861836,52.69 %
60896,71.01370600963699,52.31 %
60628,71.00342857142857,51.92 %
60644,70.44732741192267,51.54 %
47774,70.08929138692618,51.15 %
60710,69.94855081472122,50.77 %
60696,69.81159046779047,50.38 %
60742,69.78133319636234,50.00 %
60614,69.6027546814612,49.62 %
60753,69.37997767083947,49.23 %
60692,69.32332536374741,48.85 %
60738,69.05285743185699,48.46 %
60788,69.03688497031904,48.08 %
59137,68.71760763522055,47.69 %
60792,68.71084095731555,47.31 %
60673,68.61999186213642,46.92 %
60672,68.51197474361005,46.54 %
60829,68.2261049574011,46.15 %
61519,68.21908468388827,45.77 %
60592,68.20885388357462,45.38 %
60647,68.07886969091926,45.00 %
60769,67.98299979378075,44.62 %
61046,67.9613727695266,44.23 %
60652,67.93788605209068,43.85 %
60599,67.8829490022382,43.46 %
60891,67.86998333469315,43.08 %
60763,67.83479079747471,42.69 %
60691,67.5040470186915,42.31 %
60590,67.25039694704051,41.92 %
60678,67.07326129837328,41.54 %
60778,67.03496323274489,41.15 %
60901,66.65209772633312,40.77 %
60613,66.49553693643581,40.38 %
60703,66.38324305539466,40.00 %
60636,66.27339601489312,39.62 %
60799,66.12814666686894,39.23 %
34511,65.76857142857142,38.85 %
8160,65.45939250994756,38.46 %
60730,65.45115141899504,38.08 %
60775,65.42699323545092,37.69 %
52592,65.37185436367442,37.31 %
60761,65.07038811494981,36.92 %
60721,64.82434283934798,36.54 %
60669,64.54768253968253,36.15 %
60734,64.26241711706567,35.77 %
60641,63.885159383228114,35.38 %
60762,63.74163600028239,35.00 %
60714,63.70707512775451,34.62 %
60795,63.59729589441676,34.23 %
60587,63.36056708911671,33.85 %
60671,63.27417942446995,33.46 %
60711,63.21404409984119,33.08 %
60642,63.21134369857146,32.69 %
60772,62.81319601263261,32.31 %
60728,62.58225622090011,31.92 %
60654,62.5315156099663,31.54 %
60584,62.504164607915676,31.15 %
60694,62.06898042396844,30.77 %
60668,61.752639858795405,30.38 %
60837,61.40535193004457,30.00 %
60866,61.19199638372756,29.62 %
60621,60.96057409889966,29.23 %
49361,60.954041751894906,28.85 %
60787,60.28890466489046,28.46 %
60765,59.688410198707146,28.08 %
60675,59.566686930091166,27.69 %
60611,59.506953478169166,27.31 %
58834,58.45924368384726,26.92 %
60688,58.02075065664317,26.54 %
60651,57.865141875080816,26.15 %
61094,57.84191175391051,25.77 %
60622,57.648861586634894,25.38 %
48721,57.14649962380548,25.00 %
60627,56.85656711459329,24.62 %
60717,56.61477037968114,24.23 %
60677,56.185356795950376,23.85 %
47961,55.77617270111131,23.46 %
60771,55.606430652078195,23.08 %
58865,55.60495238095237,22.69 %
60731,55.380068404416356,22.31 %
60643,55.22954177897574,21.92 %
60760,54.3144344218563,21.54 %
47920,54.28207301118935,21.15 %
60593,54.0695947797753,20.77 %
58634,53.93084510533773,20.38 %
60705,53.31423312824931,20.00 %
60712,53.08307403105201,19.62 %
60625,53.03689092530772,19.23 %
60670,52.16112405620386,18.85 %
61020,52.12488655601414,18.46 %
59018,51.807136655286676,18.08 %
60632,51.6111624175842,17.69 %
48117,51.53193441435868,17.31 %
60581,51.48665686750855,16.92 %
60617,51.10087818401937,16.54 %
61132,50.86627489455556,16.15 %
61143,50.82720799518047,15.77 %
60839,50.43058848617374,15.38 %
60716,50.284733912880725,15.00 %
61106,49.4386601634782,14.62 %
60666,48.1317412057141,14.23 %
60595,46.398670961569465,13.85 %
49687,45.37666119017932,13.46 %
8317,45.284653709855974,13.08 %
60797,45.09990210740658,12.69 %
60785,44.865432818839416,12.31 %
47937,44.842014012923066,11.92 %
