user_id,average_score,rank(percent)
60794,91.39999999999999,100 %
47996,88.84952380952379,99.60 %
60713,88.25142857142856,99.19 %
58758,88.19399999999999,98.79 %
60714,88.0,98.38 %
48102,87.50109105915926,97.98 %
39160,86.85561104357204,97.57 %
60653,86.82741437918249,97.17 %
60634,86.71785714285714,96.76 %
60759,86.0960716357948,96.36 %
61019,85.99464285714285,95.95 %
60768,85.84781954887218,95.55 %
60695,85.69052631578947,95.14 %
60737,85.6864761904762,94.74 %
60711,85.61714285714284,94.33 %
61406,85.58821428571429,93.93 %
60706,85.54459334814219,93.52 %
60764,85.41443609022556,93.12 %
60700,85.16982757599074,92.71 %
60899,85.11466666666666,92.31 %
60620,84.92781954887218,91.90 %
60658,84.90902933197452,91.50 %
51584,84.89714285714285,91.09 %
60889,84.42689364905846,90.69 %
60876,83.94542857142858,90.28 %
60616,83.66900105588746,89.88 %
61659,83.18285714285715,89.47 %
60683,82.8312380952381,89.07 %
60742,82.78682432361319,88.66 %
60791,82.55540667158733,88.26 %
60757,82.44285714285712,87.85 %
60724,82.17052631578947,87.45 %
60751,82.1093438057064,87.04 %
39190,81.80285714285714,86.64 %
60756,81.61684210526315,86.23 %
61048,81.57990521034414,85.83 %
60624,81.46112248955066,85.43 %
60777,81.44835872668837,85.02 %
60598,81.16108598334934,84.62 %
60585,81.03685714285713,84.21 %
60603,80.52775124287903,83.81 %
60679,80.34863547890092,83.40 %
60625,80.3204081632653,83.00 %
61135,80.1396435240554,82.59 %
60720,79.89218635082871,82.19 %
60637,79.86154589904055,81.78 %
60895,79.50005456780283,81.38 %
60639,79.47368266482256,80.97 %
60755,79.42695936215355,80.57 %
60673,78.74809344462818,80.16 %
52592,78.68979722432121,79.76 %
58575,78.58318176079099,79.35 %
60638,78.52946659965907,78.95 %
60835,78.51539496928238,78.54 %
60885,78.44682979121137,78.14 %
60766,78.3634508853838,77.73 %
60665,78.34323007567089,77.33 %
50263,78.04336823933926,76.92 %
60610,77.89338813947863,76.52 %
60690,77.12407808380664,76.11 %
60602,77.10887218045113,75.71 %
60719,76.61833105978862,75.30 %
60752,76.56832125319409,74.90 %
60671,76.404302250826,74.49 %
60631,76.4037382698142,74.09 %
60594,76.37233082706766,73.68 %
58586,76.20780555349418,73.28 %
60781,76.00026119076463,72.87 %
60686,75.9843731207854,72.47 %
59308,75.91833483262292,72.06 %
60795,75.69339441000457,71.66 %
61097,75.67541581962078,71.26 %
60601,75.42938775510204,70.85 %
58822,75.05109794213679,70.45 %
61041,74.98857142857142,70.04 %
60762,74.77158350788676,69.64 %
49361,74.76932330827067,69.23 %
60608,74.01682539682538,68.83 %
60662,73.88976718419929,68.42 %
60698,73.81247619047619,68.02 %
60833,73.7452227849778,67.61 %
60891,73.59423620267614,67.21 %
60661,73.53632222048704,66.80 %
60606,73.31803571428571,66.40 %
60628,73.00333333333333,65.99 %
60697,72.71469387755101,65.59 %
60651,72.59320730124026,65.18 %
60773,72.54621676965263,64.78 %
60812,72.54529338362957,64.37 %
60896,72.40495011409071,63.97 %
60750,72.39885714285715,63.56 %
60693,72.27168628606137,63.16 %
60676,72.19638582012598,62.75 %
60591,72.0236194036884,62.35 %
60699,71.92195456980824,61.94 %
60580,71.92032691498885,61.54 %
48025,71.14857142857142,61.13 %
60657,70.63285714285715,60.73 %
60715,70.32171185996899,60.32 %
60589,70.24856430365654,59.92 %
60640,69.98977443609022,59.51 %
60753,69.95310259593663,59.11 %
60619,69.91933155776229,58.70 %
60635,69.88161110243519,58.30 %
60776,69.69492579579762,57.89 %
60667,69.56204081632653,57.49 %
60898,69.50933781634606,57.09 %
60792,69.3286731882508,56.68 %
39200,69.14722621357637,56.28 %
60672,68.54244430260468,55.87 %
60790,68.40627097185448,55.47 %
60604,68.39785714285713,55.06 %
60691,68.34548276486778,54.66 %
60747,68.26608620319756,54.25 %
60832,68.21574758899779,53.85 %
60590,67.92057413031974,53.44 %
60769,67.58775962247338,53.04 %
60721,67.18093424128502,52.63 %
58616,66.7624100545708,52.23 %
60614,66.5229201835699,51.82 %
60647,66.11459014357828,51.42 %
60870,66.07997020099232,51.01 %
60717,66.0603817046157,50.61 %
60587,66.03267147905716,50.20 %
47774,65.57446967863775,49.80 %
60641,65.53336435950698,49.39 %
60837,65.45355494648423,48.99 %
58610,65.41142857142857,48.58 %
60797,65.37945929871857,48.18 %
60866,65.22429654330826,47.77 %
60707,64.9672380952381,47.37 %
48090,64.76142857142857,46.96 %
60771,64.70590308923447,46.56 %
60799,64.6610562509037,46.15 %
60738,64.43762678022026,45.75 %
60696,64.2818980843726,45.34 %
60642,63.068804054013235,44.94 %
60785,62.94055230423917,44.53 %
60652,62.776114989112465,44.13 %
60722,62.67697931270582,43.72 %
60703,62.6570097340098,43.32 %
60617,62.49879119319335,42.91 %
60775,62.342082188630144,42.51 %
60592,62.149044371126585,42.11 %
60739,62.0805030623482,41.70 %
60758,62.075960119468306,41.30 %
60694,61.948068518669686,40.89 %
60621,61.739188906979244,40.49 %
60787,61.618068060967346,40.08 %
60692,60.98365563591053,39.68 %
8160,60.76777777777777,39.27 %
60723,60.40274187042907,38.87 %
60829,60.10462239206336,38.46 %
60644,59.85185171530839,38.06 %
59140,59.801503759398486,37.65 %
60581,59.64196613431472,37.25 %
60649,59.58816326530613,36.84 %
61519,59.09794288768238,36.44 %
60763,58.93233646723577,36.03 %
59137,58.52584450766169,35.63 %
60688,58.461831958949794,35.22 %
61046,58.343203281374656,34.82 %
61132,58.30307309382386,34.41 %
60599,58.21232222048703,34.01 %
60825,57.95004456139252,33.60 %
60810,57.828242629814945,33.20 %
60761,56.94725869263176,32.79 %
60730,56.532384646483116,32.39 %
60659,56.39878413045449,31.98 %
60668,56.16776363684139,31.58 %
61053,55.74530124765451,31.17 %
49823,55.66041217321879,30.77 %
60760,55.64326686940169,30.36 %
60733,55.08030075187971,29.96 %
60611,54.684389682361825,29.55 %
60900,54.528299379851696,29.15 %
58778,54.527950538230726,28.74 %
60846,53.21628571428572,28.34 %
60669,52.80692898781068,27.94 %
60675,52.5592553041363,27.53 %
60770,51.39755736095409,27.13 %
60593,50.52772598023114,26.72 %
60774,50.11201387733753,26.32 %
60727,49.96323780574387,25.91 %
60670,49.45548725837405,25.51 %
60788,48.828007730579245,25.10 %
60627,48.569596363245125,24.70 %
60767,47.95721460248052,24.29 %
58547,47.67965316494456,23.89 %
48117,47.203788440036554,23.48 %
60660,46.85650793650794,23.08 %
60613,46.64876009567632,22.67 %
48721,46.47277650389178,22.27 %
60648,46.47017810032086,21.86 %
60765,45.29328970302241,21.46 %
60705,45.27564163142508,21.05 %
60716,44.90426675828494,20.65 %
40186,44.30894321841457,20.24 %
60710,44.14431932815863,19.84 %
60622,43.72903609945009,19.43 %
58585,43.06445098013336,19.03 %
60595,42.66869748824557,18.62 %
47937,42.57091149857059,18.22 %
47961,41.48266666666666,17.81 %
47920,39.74735582912572,17.41 %
60708,39.55285143019211,17.00 %
58744,38.916560781290634,16.60 %
60636,38.602365792541185,16.19 %
61020,37.55740351362387,15.79 %
49405,36.51386646744653,15.38 %
60734,35.12719452867221,14.98 %
60632,34.15979492896897,14.57 %
60678,33.38163624263003,14.17 %
60666,32.79347244157395,13.77 %
49687,30.558365548379935,13.36 %
8317,30.298830348273878,12.96 %
8246,30.23294454494215,12.55 %
60586,28.49710922734754,12.15 %
8318,27.863480743950593,11.74 %
16304,27.831704427102032,11.34 %
60793,26.82678809691455,10.93 %
60725,26.420941346953658,10.53 %
60623,25.740499415757327,10.12 %
60749,25.66870434802499,9.72 %
60796,25.05805301014531,9.31 %
59018,23.827377360616946,8.91 %
60731,23.418367346938773,8.50 %
60778,21.588454892257364,8.10 %
60618,19.864088305723282,7.69 %
60839,19.489179919175417,7.29 %
60605,18.37484999242332,6.88 %
58634,17.59329859413679,6.48 %
61094,17.357675286421347,6.07 %
47879,16.508571428571425,5.67 %
61143,15.71428571428571,5.26 %
60578,13.71428571428571,4.86 %
60643,13.659248120300749,4.45 %
48083,13.056983376861652,4.05 %
60836,12.38095238095238,3.64 %
60712,6.161571230503512,3.24 %
60782,2.0544100930036517,2.83 %
60584,2.0171428571428573,2.43 %
3544,0.0,2.02 %
60772,0.0,2.02 %
60901,0.0,2.02 %
2843,0.0,2.02 %
60746,0.0,2.02 %
