user_id,average_score,rank(percent)
61020,88.96,100 %
60768,87.53490683229812,99.54 %
60603,86.90904761904761,99.09 %
60697,86.82419047619048,98.63 %
60778,86.32000000000001,98.17 %
60885,86.10452380952381,97.72 %
60683,85.47142857142856,97.26 %
60635,84.74426357224579,96.80 %
61048,84.73851396894804,96.35 %
60624,84.58837099696525,95.89 %
60889,84.50197471153682,95.43 %
61019,84.23293597287747,94.98 %
60620,82.4812244897959,94.52 %
58586,82.34782013218742,94.06 %
60750,82.06254362112033,93.61 %
60777,81.96303226694043,93.15 %
60759,81.78843222746535,92.69 %
60665,80.54303744088337,92.24 %
61041,80.3868022353183,91.78 %
60698,79.79634109281753,91.32 %
60724,78.41468529193074,90.87 %
60695,78.31878092744502,90.41 %
60608,77.11672455655892,89.95 %
60757,76.84474644241051,89.50 %
60791,76.70636402839014,89.04 %
60661,76.28219925869351,88.58 %
60723,76.08730779637169,88.13 %
60690,76.01052297508228,87.67 %
60770,75.97838328547823,87.21 %
60794,75.82697116515511,86.76 %
60580,75.08426837525748,86.30 %
60764,74.86620098657609,85.84 %
58547,74.43622751526422,85.39 %
60675,73.82153846153845,84.93 %
60753,73.2766325767047,84.47 %
60589,73.01666887611648,84.02 %
60649,71.75330277217424,83.56 %
60876,71.57278641538488,83.11 %
60598,71.54394356541592,82.65 %
60658,70.90417204050054,82.19 %
60719,70.90269279158922,81.74 %
60640,70.75489795918368,81.28 %
60900,70.42507017078582,80.82 %
60727,70.42003650620131,80.37 %
60594,70.19449094597756,79.91 %
60752,69.8304505727595,79.45 %
60653,69.5984053635028,79.00 %
60637,69.19270169115991,78.54 %
60756,68.95669531333023,78.08 %
60590,68.8981775248968,77.63 %
60737,68.70265689336992,77.17 %
60676,68.55804116251733,76.71 %
59137,68.34889702816467,76.26 %
60747,68.25668471854252,75.80 %
60602,67.83897959183672,75.34 %
39160,67.72026509806709,74.89 %
59308,67.30311314042761,74.43 %
60610,67.29272427576244,73.97 %
60638,67.27961743356403,73.52 %
60742,67.14897959183672,73.06 %
60652,67.13188832187824,72.60 %
60591,67.00008937322563,72.15 %
