user_id,all_score,rank(percent)
60885,16519.251790467475,100 %
60750,16139.608216006654,99.63 %
60620,16110.535979410572,99.26 %
60697,15904.592310435166,98.89 %
60759,15896.955861414523,98.52 %
60598,15872.939389797462,98.15 %
58586,15843.259845918603,97.79 %
60608,15823.018334509125,97.42 %
60690,15603.766535491748,97.05 %
60777,15585.790891711156,96.68 %
60658,15579.301723891555,96.31 %
60589,15568.721901523968,95.94 %
60695,15534.686481706316,95.57 %
60637,15504.296052127675,95.20 %
60580,15473.915845731066,94.83 %
60635,15453.130627549395,94.46 %
60698,15452.05748772621,94.10 %
60764,15339.322567180207,93.73 %
60603,15291.23734160624,93.36 %
60889,15261.8601995085,92.99 %
60591,15238.188691201223,92.62 %
60653,15234.071816342357,92.25 %
60756,15201.3733266599,91.88 %
60686,15185.824804642523,91.51 %
60594,15148.460703793482,91.14 %
60661,15143.358678097704,90.77 %
60768,15037.051103680567,90.41 %
60876,15008.634228372513,90.04 %
60667,15007.32552073448,89.67 %
59308,14816.502339606932,89.30 %
60773,14749.127052562311,88.93 %
60766,14739.380572565842,88.56 %
60585,14650.453047289837,88.19 %
60723,14646.443151999045,87.82 %
60742,14625.191483014887,87.45 %
60602,14559.738657847256,87.08 %
60757,14536.33044945011,86.72 %
60699,14494.673275525045,86.35 %
60638,14465.222665368143,85.98 %
60634,14448.623333544481,85.61 %
60601,14410.19046543942,85.24 %
58758,14371.57600538127,84.87 %
58610,14325.277141214725,84.50 %
39160,14323.11526545791,84.13 %
58575,14298.708581374802,83.76 %
58547,14287.793564838177,83.39 %
61019,14256.276530022576,83.03 %
60649,14219.033178275247,82.66 %
60610,14179.02520945782,82.29 %
59137,14162.124296296724,81.92 %
60737,14161.743656021777,81.55 %
58822,14155.191664284797,81.18 %
60720,14059.621786275868,80.81 %
60693,14023.000824019098,80.44 %
61041,14014.772115851443,80.07 %
39200,13897.62125805706,79.70 %
60747,13799.503183322555,79.34 %
60781,13792.476559052975,78.97 %
60846,13747.69298919047,78.60 %
60752,13728.101585403014,78.23 %
60791,13725.037076023887,77.86 %
60706,13695.432409649822,77.49 %
61135,13672.523016432233,77.12 %
60683,13590.671915974883,76.75 %
61406,13584.958588077463,76.38 %
60755,13561.391339586926,76.01 %
59140,13454.307467163191,75.65 %
60724,13447.685219420491,75.28 %
60673,13375.210686022656,74.91 %
60770,13331.671598661344,74.54 %
60614,13321.269601257976,74.17 %
60606,13287.147039086682,73.80 %
60774,13279.559573807242,73.43 %
60691,13245.051409610056,73.06 %
60753,13166.69166601346,72.69 %
60792,13139.899912639694,72.32 %
48102,13133.223698796208,71.96 %
60835,13129.025135953776,71.59 %
60832,13111.088080547492,71.22 %
58778,13083.215531175614,70.85 %
60812,13053.04075720836,70.48 %
60590,13045.04485986786,70.11 %
60767,13016.139220989438,69.74 %
60758,13007.032353056005,69.37 %
60733,12998.778034196936,69.00 %
60676,12992.388385635444,68.63 %
60619,12894.493246002026,68.27 %
60795,12879.794484616263,67.90 %
60624,12813.689133897169,67.53 %
60895,12785.845664432223,67.16 %
60631,12762.107620712426,66.79 %
8160,12726.411764036437,66.42 %
60900,12708.067516691077,66.05 %
60761,12675.418673858343,65.68 %
60776,12669.947463679524,65.31 %
60790,12635.361517215037,64.94 %
60833,12623.018208269126,64.58 %
60692,12555.028905666088,64.21 %
60738,12509.308906714403,63.84 %
61659,12474.733925171235,63.47 %
60644,12370.702137935268,63.10 %
60734,12113.493950904165,62.73 %
60592,12105.520422618847,62.36 %
60641,12098.17157336426,61.99 %
60727,12050.03246633014,61.62 %
60898,12030.0390711343,61.25 %
61048,12028.16542530863,60.89 %
60671,12020.488358325956,60.52 %
60717,12018.778229317795,60.15 %
60652,11975.827551837838,59.78 %
60647,11943.820110254803,59.41 %
60739,11922.845659006407,59.04 %
49361,11888.722801599897,58.67 %
60870,11834.219218967119,58.30 %
60657,11832.284268663827,57.93 %
60722,11788.19357531874,57.56 %
60660,11787.720601448022,57.20 %
60621,11748.93076248954,56.83 %
60611,11673.320693510646,56.46 %
60787,11520.949461052049,56.09 %
60762,11470.842385480226,55.72 %
60721,11401.801358453691,55.35 %
60696,11398.349160998021,54.98 %
60899,11312.473776939554,54.61 %
60715,11292.789412002005,54.24 %
60775,11274.958161437013,53.87 %
60604,11262.932641220348,53.51 %
60703,11236.898156249776,53.14 %
60799,11211.409637941331,52.77 %
49405,11207.681324151206,52.40 %
60599,11044.629654307431,52.03 %
60617,11032.700438528298,51.66 %
60829,10949.40789958969,51.29 %
47329,10908.807599437032,50.92 %
60896,10907.139905797756,50.55 %
60625,10897.202117958766,50.18 %
47774,10878.996373201098,49.82 %
60771,10804.571739566183,49.45 %
61053,10640.290403757765,49.08 %
60665,10543.901162586571,48.71 %
60593,10543.23929568437,48.34 %
60765,10541.790710502448,47.97 %
61132,10483.230846597284,47.60 %
60581,10385.06092220049,47.23 %
60719,10379.888972846817,46.86 %
60587,10335.110720386698,46.49 %
60788,10317.996991352496,46.13 %
60730,10283.224825421947,45.76 %
60643,10126.510615814497,45.39 %
60678,10027.760102089025,45.02 %
60688,9857.3926333764,44.65 %
60710,9853.65601799651,44.28 %
60639,9851.46332280303,43.91 %
58634,9724.533155542033,43.54 %
60731,9609.160237299375,43.17 %
61519,9566.103739530354,42.80 %
60694,9541.574576004356,42.44 %
60769,9526.42483245671,42.07 %
60705,9434.976392555387,41.70 %
8318,9398.014036715944,41.33 %
47937,9358.947936709992,40.96 %
49687,9354.95372591395,40.59 %
60751,9351.729177731031,40.22 %
16304,9351.325682592029,39.85 %
60794,9245.963257798117,39.48 %
60636,9183.481718373565,39.11 %
60675,9169.533492113957,38.75 %
52592,9145.916596732075,38.38 %
59018,9106.422319887743,38.01 %
61046,9096.855056488319,37.64 %
60622,9092.462281599934,37.27 %
60763,8976.955971385516,36.90 %
60632,8976.561355610189,36.53 %
8246,8908.511567546933,36.16 %
60668,8808.029264344988,35.79 %
60595,8786.75963624167,35.42 %
8317,8693.370290740666,35.06 %
58616,8669.034974505455,34.69 %
60797,8641.310369483364,34.32 %
60839,8627.29529371908,33.95 %
60891,8587.501426604174,33.58 %
60716,8483.643927150595,33.21 %
47961,8341.123192538449,32.84 %
48721,8314.556436999006,32.47 %
48083,8236.064464680472,32.10 %
48025,8154.645065224338,31.73 %
60670,8124.230312875473,31.37 %
60714,7997.112657740928,31.00 %
60760,7990.303482511008,30.63 %
60825,7798.290168354727,30.26 %
60669,7720.48482502309,29.89 %
60640,7627.015858773791,29.52 %
60785,7618.117305028582,29.15 %
60672,7612.880658740158,28.78 %
48117,7591.369754616054,28.41 %
47920,7512.8779678115625,28.04 %
60642,7393.1727983676565,27.68 %
60618,7382.2571602104035,27.31 %
60796,7273.809780172781,26.94 %
60810,7257.191773803363,26.57 %
58585,7205.622904715812,26.20 %
60749,7133.431137402749,25.83 %
60648,6984.83474076579,25.46 %
47996,6928.90857142857,25.09 %
60616,6922.832458721628,24.72 %
60793,6884.190622761935,24.35 %
50263,6790.840772035186,23.99 %
60627,6786.804969652828,23.62 %
60662,6677.804328613912,23.25 %
40186,6503.171210888206,22.88 %
60708,6454.55794028172,22.51 %
60778,6324.09506902424,22.14 %
60712,6216.846107404846,21.77 %
60677,6204.454250524473,21.40 %
60654,6196.346544310863,21.03 %
60605,6150.642033375718,20.66 %
61020,6020.105371705609,20.30 %
60707,6011.305452168783,19.93 %
61094,5983.315190045919,19.56 %
60772,5634.707453447404,19.19 %
60586,5223.87661783732,18.82 %
60666,5157.6880992221,18.45 %
60837,5021.901434183058,18.08 %
60651,4930.061896308805,17.71 %
49823,4868.996023544268,17.34 %
60866,4699.381805693418,16.97 %
60628,4310.029301552598,16.61 %
60901,4147.895629475758,16.24 %
60659,3868.6112340509576,15.87 %
60623,3752.964458561046,15.50 %
61212,3695.7135777320696,15.13 %
60615,3437.131884624269,14.76 %
60828,3290.8204009135425,14.39 %
60827,3129.3758562272387,14.02 %
39190,2979.1948602018174,13.65 %
58744,2503.7005742262018,13.28 %
60630,2474.596256524735,12.92 %
60613,2298.396499583723,12.55 %
60700,2293.3859947114775,12.18 %
60679,2191.3111371083983,11.81 %
61106,1977.5464065391277,11.44 %
60782,1939.0372426697752,11.07 %
48090,1879.8922664594786,10.70 %
61715,1854.3262870516037,10.33 %
60645,1696.114277859702,9.96 %
61143,1528.8670033805206,9.59 %
61097,1469.325810906168,9.23 %
58865,1425.678060198018,8.86 %
60584,1367.0161740061826,8.49 %
58834,1286.1033610446398,8.12 %
39021,1102.9116991387057,7.75 %
60746,967.7825295640932,7.38 %
60711,907.3997161550783,7.01 %
60836,904.3674773609814,6.64 %
60725,839.0461382467333,6.27 %
60728,636.788209353121,5.90 %
47879,426.39501583831213,5.54 %
34511,343.7885714285714,5.17 %
51584,285.46490152878556,4.80 %
60713,260.97142857142853,4.43 %
3544,141.87087013979465,4.06 %
49315,82.65142857142857,3.69 %
40552,79.84,3.32 %
60689,78.57142857142857,2.95 %
2843,37.66756597940501,2.58 %
60578,13.71428571428571,2.21 %
60822,13.71428571428571,2.21 %
60583,8.951999999999998,1.48 %
61035,0.0,1.11 %
61074,0.0,1.11 %
39201,0.0,1.11 %
