user_id,average_score,rank(percent)
60589,77.73230769230769,100.00 %
61019,70.35523809523808,99.55 %
60768,66.98642857142856,99.10 %
60885,64.90255639097745,98.64 %
60724,64.28571428571428,98.19 %
61132,63.43342846652797,97.74 %
60686,57.105717623002135,97.29 %
60603,54.84380952380952,96.83 %
60750,52.79932251755878,96.38 %
60720,52.73626248717363,95.93 %
60690,52.46398721173121,95.48 %
49405,50.61268856770596,95.02 %
60766,48.61214285714286,94.57 %
60587,48.09179285599365,94.12 %
60658,47.404992425291205,93.67 %
60773,46.54271151160219,93.21 %
60620,45.85558074822448,92.76 %
60794,45.80454331395808,92.31 %
60738,45.01423457052801,91.86 %
58586,42.54859423649319,91.40 %
60637,41.91174603174603,90.95 %
60628,41.68190476190476,90.50 %
39200,41.4462715485626,90.05 %
60764,40.931616179479235,89.59 %
60889,40.190628359398794,89.14 %
60691,39.91361414200826,88.69 %
58547,39.06228712336281,88.24 %
60662,38.32369038189919,87.78 %
60742,38.01410627670438,87.33 %
60787,37.98175824175824,86.88 %
60667,37.284546346777084,86.43 %
60791,37.243866571879735,85.97 %
60896,37.241007526160836,85.52 %
60781,37.13061813684264,85.07 %
60899,37.06285714285714,84.62 %
60635,36.27102702047098,84.16 %
60621,36.03120907231755,83.71 %
60733,36.007500265630405,83.26 %
61046,35.91428571428571,82.81 %
59018,35.708946173407654,82.35 %
60756,35.70441640801401,81.90 %
60747,35.40480595353278,81.45 %
60639,34.559999999999995,81.00 %
60580,34.26135096769557,80.54 %
60746,33.49142857142857,80.09 %
60601,33.48421998456704,79.64 %
60699,33.42131757996411,79.19 %
60777,33.36256496568688,78.73 %
60683,32.76600634084692,78.28 %
61048,32.72571428571428,77.83 %
60759,32.525256503391276,77.38 %
60677,32.513293721504354,76.92 %
60698,32.46733819271396,76.47 %
61135,31.72483516483516,76.02 %
47996,31.163571428571426,75.57 %
60697,31.05047619047619,75.11 %
60598,30.9726265600368,74.66 %
60614,30.850489616969895,74.21 %
60757,30.789775325202573,73.76 %
60706,30.54690476190476,73.30 %
60594,30.379682539682538,72.85 %
60753,30.35515338541942,72.40 %
60615,30.097142857142856,71.95 %
60891,30.024395104603087,71.49 %
59308,29.940721798132042,71.04 %
60792,29.92571428571428,70.59 %
60719,29.889882422917374,70.14 %
60776,29.71092954960381,69.68 %
47774,29.510505177933926,69.23 %
60799,29.498241705238033,68.78 %
60602,29.350329670329668,68.33 %
60771,29.200879120879115,67.87 %
60606,29.08903248167791,67.42 %
60694,29.080876165397907,66.97 %
60846,29.012309176117213,66.52 %
60591,28.837626560036806,66.06 %
