user_id,average_score,rank(percent)
60885,67.56972327164313,100.00 %
60658,63.01492063492063,99.60 %
60620,62.58444444444444,99.19 %
60690,61.418027739623554,98.79 %
60683,60.18448979591836,98.38 %
60695,60.161116119389625,97.98 %
60764,59.706361219772575,97.57 %
60756,58.59760925570687,97.17 %
61019,58.51400090838025,96.76 %
60768,57.76657250476603,96.36 %
51584,56.80571428571428,95.95 %
60724,56.51628873147872,95.55 %
60742,56.035873015873015,95.14 %
60720,55.97934789545487,94.74 %
60602,54.514766913040404,94.33 %
60686,54.03252623832375,93.93 %
60759,53.34256313004979,93.52 %
61135,52.55373466544341,93.12 %
60651,52.38021242967386,92.71 %
60829,52.0049366743135,92.31 %
60652,51.99770903612023,91.90 %
60697,50.878808095379775,91.50 %
60589,49.720736537831414,91.09 %
49405,49.6015182793783,90.69 %
60613,49.20214227256666,90.28 %
60791,49.1187591891972,89.88 %
60591,49.001369286602895,89.47 %
60580,48.61754365664093,89.07 %
60752,48.498135738160215,88.66 %
60603,48.01157956703278,88.26 %
60812,47.46330838328949,87.85 %
60639,47.12217990959161,87.45 %
60733,47.105465082113284,87.04 %
60635,46.856085433034764,86.64 %
60896,46.199437025891136,86.23 %
60606,46.16365142434291,85.83 %
60750,45.977483255804685,85.43 %
60616,45.85446942847732,85.02 %
60699,45.589219590419695,84.62 %
60753,45.151909117117846,84.21 %
60738,44.99576839091266,83.81 %
60828,44.993419198592946,83.40 %
60723,43.81055506384962,83.00 %
60649,43.53022555434092,82.59 %
48102,43.38651983865751,82.19 %
60631,42.96565095945662,81.78 %
60781,41.60397931407033,81.38 %
60773,41.21281629115153,80.97 %
60614,41.09754286276096,80.57 %
60610,40.94347992065351,80.16 %
60794,40.698877135569354,79.76 %
60889,40.56411152927172,79.35 %
59018,40.56180369944021,78.95 %
60715,40.27008393708939,78.54 %
60634,39.97256825268969,78.14 %
60895,39.52264697914011,77.73 %
60747,39.430794584491174,77.33 %
60601,39.41978729949744,76.92 %
61048,39.25687210143592,76.52 %
60604,39.153562797847286,76.11 %
60665,39.05796818859624,75.71 %
60722,38.96681887998059,75.30 %
60757,38.95764798281387,74.90 %
60630,38.739999999999995,74.49 %
60832,38.338428169658926,74.09 %
60698,38.24779431323685,73.68 %
60598,38.178795869136636,73.28 %
60737,37.954253171730166,72.87 %
60766,37.71221629424474,72.47 %
60703,37.09151678736296,72.06 %
60691,36.82498822116012,71.66 %
60870,36.77422277056769,71.26 %
60846,36.70931998800677,70.85 %
60673,36.70501148248091,70.45 %
60661,36.55949488164625,70.04 %
60730,36.47610158999957,69.64 %
60592,36.106596633420885,69.23 %
60751,35.99636363636363,68.83 %
60775,35.86255266532783,68.42 %
60790,35.75841269841269,68.02 %
60619,35.504893284564204,67.61 %
60769,35.47608450411846,67.21 %
60899,35.43050080858931,66.80 %
60667,35.23885714285714,66.40 %
60706,35.01794558008878,65.99 %
60653,34.68342844748848,65.59 %
8318,34.58857142857143,65.18 %
61715,34.22639586355642,64.78 %
61406,34.183696539257106,64.37 %
60876,34.16374545355582,63.97 %
59308,34.09499260566957,63.56 %
60771,34.03174603174603,63.16 %
61046,33.97053042995159,62.75 %
60621,33.80024064942987,62.35 %
61659,33.655627247056636,61.94 %
59140,33.65365079365079,61.54 %
60644,33.36152987946322,61.13 %
60710,33.22788706459068,60.73 %
60638,33.10126984126984,60.32 %
60739,33.014176049406075,59.92 %
58575,32.945878024151526,59.51 %
60833,32.90627409821209,59.11 %
60719,32.86250742611167,58.70 %
40186,32.82470553459255,58.30 %
60657,32.46477046352872,57.89 %
60776,32.39621889299849,57.49 %
60891,32.19927189359238,57.09 %
39200,32.158657516906445,56.68 %
60671,32.129287552348686,56.28 %
58547,31.924949395749373,55.87 %
50263,31.78974355986898,55.47 %
60778,31.692600426384647,55.06 %
39160,31.452735225028444,54.66 %
60714,31.438633198150413,54.25 %
60777,31.401800434818636,53.85 %
60676,31.035756890072076,53.44 %
60898,31.032974261150823,53.04 %
60694,30.830261170336623,52.63 %
60788,30.712536217291838,52.23 %
60835,30.590724665844384,51.82 %
60662,30.533760678359204,51.42 %
60594,30.25611802851796,51.01 %
60688,30.21892741304477,50.61 %
8317,30.182565343994057,50.20 %
60765,30.11018984589329,49.80 %
60669,29.903265306122446,49.39 %
60774,29.551985573431654,48.99 %
60795,29.470451474808897,48.58 %
60608,29.45913449654474,48.18 %
60731,29.457979043639188,47.77 %
60755,29.13410120736953,47.37 %
60641,28.579833737691956,46.96 %
60721,28.46838992107076,46.56 %
60734,28.418886701725917,46.15 %
61519,28.383609776299252,45.75 %
61041,28.359703536373846,45.34 %
58586,28.341714249123896,44.94 %
60762,28.326069628735514,44.53 %
58758,28.140952380952378,44.13 %
58822,28.111326390509316,43.72 %
60585,28.096040414861882,43.32 %
60810,27.79554238722951,42.91 %
60637,27.786895451480408,42.51 %
60581,27.720541679306773,42.11 %
60590,27.715522332805833,41.70 %
60792,27.50964911749099,41.30 %
48083,27.381872085207966,40.89 %
60605,27.3600566408821,40.49 %
60696,27.349664985936815,40.08 %
49687,27.25904761904762,39.68 %
60787,26.95289180318874,39.27 %
58778,26.906533580793127,38.87 %
60675,26.89827062884748,38.46 %
60624,26.751333733086312,38.06 %
60617,26.634057810014347,37.65 %
8246,26.590590186933085,37.25 %
60693,26.342106532388804,36.84 %
60627,26.33822022012048,36.44 %
60900,26.141741943737042,36.03 %
60632,26.002418266264982,35.63 %
60901,25.98337963448453,35.22 %
60716,25.831671519456822,34.82 %
60797,25.626902946319824,34.41 %
60761,25.51063534353477,34.01 %
16304,25.502732728040137,33.60 %
60827,25.193186600775135,33.20 %
60587,24.86544207254733,32.79 %
49361,24.849802707484024,32.39 %
59137,24.67903116763597,31.98 %
60677,24.54630891935585,31.58 %
60799,24.38424250797732,31.17 %
60692,24.27330635378124,30.77 %
58634,24.20552120116737,30.36 %
60636,24.1356409275848,29.96 %
58865,23.938760678359206,29.55 %
58610,23.708888888888886,29.15 %
60618,23.626417148997653,28.74 %
48117,23.41899494532473,28.34 %
60717,23.351278508946507,27.94 %
60622,23.276268927711026,27.53 %
60660,23.22243112700899,27.13 %
60767,23.17542339695113,26.72 %
61020,23.027921990688036,26.32 %
39021,22.840487871522292,25.91 %
60611,22.83665986769789,25.51 %
60586,22.659798522718116,25.10 %
60770,22.63124437971064,24.70 %
60672,22.49376832432558,24.29 %
61132,22.44540213849565,23.89 %
8160,22.42252100840336,23.48 %
60758,22.29372060410408,23.08 %
60648,22.245551335067695,22.67 %
39190,22.14285714285714,22.27 %
60670,21.939835890249796,21.86 %
61143,21.461495997356405,21.46 %
60625,21.41333333333333,21.05 %
60727,21.133325757507972,20.65 %
61097,21.038311077673406,20.24 %
60593,20.967918775463076,19.84 %
61053,20.760420111604837,19.43 %
60584,20.439999999999998,19.03 %
60647,20.193996996779124,18.62 %
47920,20.063304498398495,18.22 %
60749,19.903357978035338,17.81 %
60725,19.812050381519285,17.41 %
60712,19.560884729154328,17.00 %
52592,19.544170422875546,16.60 %
60728,19.179107718389695,16.19 %
60642,18.57290827188151,15.79 %
60793,18.06807931048437,15.38 %
60746,17.924810580617343,14.98 %
60705,17.792905390436434,14.57 %
60839,17.708154365349696,14.17 %
60763,17.175966852500714,13.77 %
60785,17.122565513395454,13.36 %
58585,17.098609460618235,12.96 %
60837,16.795785475521196,12.55 %
48090,16.661501585211727,12.15 %
60678,16.639916311373405,11.74 %
60760,16.63533774399316,11.34 %
60595,16.622768496636912,10.93 %
58616,16.583809523809524,10.53 %
47937,16.428334297833207,10.12 %
47774,15.941177368456522,9.72 %
60654,15.928753963029326,9.31 %
60643,15.877142857142859,8.91 %
60668,15.630092663501813,8.50 %
49823,15.35876941382487,8.10 %
48025,14.706349206349207,7.69 %
48721,14.699775086692151,7.29 %
60708,14.353229408422363,6.88 %
60782,13.953942260539149,6.48 %
47996,13.83126050420168,6.07 %
60825,12.849424830252564,5.67 %
60796,12.060245612324916,5.26 %
58744,12.049718512945564,4.86 %
60599,12.005477951822558,4.45 %
60707,11.613469387755101,4.05 %
60772,11.193542523246412,3.64 %
47961,10.95330220855334,3.24 %
60666,9.178633349591673,2.83 %
60623,8.723085426763287,2.43 %
61094,7.6745742241875,2.02 %
60640,4.927619047619047,1.62 %
60583,4.475999999999999,1.21 %
3544,0.6617439591726457,0.81 %
60836,0.0,0.40 %
