user_id,average_score,rank(percent)
60665,59.11446601231195,100 %
60768,55.48521739130434,99.54 %
60885,55.033095238095235,99.09 %
60603,54.766190476190474,98.63 %
61097,53.7383412912514,98.17 %
60635,53.56984040146002,97.72 %
60620,52.7873469387755,97.26 %
60759,52.731520165807616,96.80 %
60891,52.10666666666666,96.35 %
60778,52.03428571428571,95.89 %
60697,51.96704761904761,95.43 %
60683,51.18571428571428,94.98 %
60889,50.06438865523913,94.52 %
60624,49.00268673629313,94.06 %
60589,48.4445491942213,93.61 %
60695,48.42373354199791,93.15 %
60690,48.29527846397696,92.69 %
61019,48.03786662275819,92.24 %
61041,47.80649048185821,91.78 %
60791,47.76652387270882,91.32 %
60698,47.588447379243,90.87 %
60764,47.42992626882473,90.41 %
60777,46.73149583385769,89.95 %
60750,46.298996823090775,89.50 %
60794,46.27187845685569,89.04 %
60753,46.01262225798386,88.58 %
60723,44.7729885853493,88.13 %
61048,44.726507250257605,87.67 %
60658,44.721788000003535,87.21 %
58586,44.396141766625256,86.76 %
60900,44.014938793574494,86.30 %
60675,43.491868131868124,85.84 %
60580,43.46194670755622,85.39 %
60757,43.41393507270697,84.93 %
60608,43.089239523288974,84.47 %
60737,43.01930687136348,84.02 %
49405,42.986585901691704,83.56 %
60752,42.82863797661815,83.11 %
60598,42.6429301566403,82.65 %
60724,42.493914428914906,82.19 %
60742,42.04693877551019,81.74 %
58547,41.96779550585732,81.28 %
60756,41.810929949330834,80.82 %
60661,41.5997620297899,80.37 %
60649,41.001722854939864,79.91 %
60676,40.94191227432251,79.45 %
61406,40.756239152045914,79.00 %
60602,40.59408163265306,78.54 %
60747,40.44330596884615,78.08 %
60653,40.17030758264895,77.63 %
60770,40.11791621228433,77.17 %
60799,39.95952788467318,76.71 %
60876,39.584976317607655,76.26 %
60601,38.72971428571429,75.80 %
59308,38.129023829063456,75.34 %
60591,38.07361391280394,74.89 %
60634,37.97747033401733,74.43 %
60812,37.88501672886013,73.97 %
60614,37.677796661270165,73.52 %
60594,37.667568881524595,73.06 %
60610,37.60931144941118,72.60 %
59137,37.585467232692494,72.15 %
60673,37.54684919742291,71.69 %
59018,37.52312827070265,71.23 %
60590,37.51615289579923,70.78 %
60667,37.51071515507142,70.32 %
60652,37.47749833317643,69.86 %
60686,37.24663716124119,69.41 %
60640,36.775306122448974,68.95 %
60769,36.61324090665407,68.49 %
60699,36.053183800012576,68.04 %
60637,35.93853984243507,67.58 %
60795,35.7740433098843,67.12 %
60788,35.7417275943737,66.67 %
60638,35.503795425935905,66.21 %
60619,35.48065363424829,65.75 %
60896,35.45657507088837,65.30 %
60846,35.32024898182279,64.84 %
60669,35.16685714285715,64.38 %
60835,34.8951994475251,63.93 %
60720,34.79548119875469,63.47 %
48102,34.71394685023561,63.01 %
39160,34.66561634554187,62.56 %
61135,34.145734177408954,62.10 %
60727,33.99671879316494,61.64 %
60691,33.948380468863306,61.19 %
58822,33.5557289479497,60.73 %
60692,33.545248461436955,60.27 %
60703,33.341558156076964,59.82 %
60773,33.277864655274904,59.36 %
60733,33.18685574880912,58.90 %
60722,33.16839810517448,58.45 %
60833,32.6418186651052,57.99 %
60774,32.59677826614404,57.53 %
60719,32.58515818025721,57.08 %
60787,32.55221147897782,56.62 %
60585,32.31815975875854,56.16 %
60761,32.04729865967143,55.71 %
60734,31.638930215931058,55.25 %
60715,31.515458560496896,54.79 %
61519,31.507325941018777,54.34 %
60766,31.503546798029554,53.88 %
60621,31.41317848452879,53.42 %
60644,31.266877017831835,52.97 %
60613,30.89520904952334,52.51 %
60636,30.488503916460328,52.05 %
60762,30.4025195996113,51.60 %
60694,30.401959980688346,51.14 %
60641,30.331215323292703,50.68 %
60775,30.316424064327936,50.23 %
39200,30.311347458241833,49.77 %
60631,30.23270229237059,49.32 %
61132,30.05039941730871,48.86 %
60618,29.704739661414994,48.40 %
60604,29.260720407726843,47.95 %
60710,29.07287953795551,47.49 %
61020,28.959999999999994,47.03 %
60592,28.93746247063926,46.58 %
60693,28.92376569024765,46.12 %
60706,28.802483426028456,45.66 %
60678,28.6803100848966,45.21 %
60617,28.58734811883815,44.75 %
60671,28.539694887575305,44.29 %
60581,28.42639529750214,43.84 %
61659,28.412757317082935,43.38 %
58758,27.90262857142857,42.92 %
58778,27.796934675159697,42.47 %
60717,27.425175257446003,42.01 %
60643,27.347551020408165,41.55 %
8160,26.96959183673469,41.10 %
60647,26.029112329519588,40.64 %
60605,25.8932647846659,40.18 %
60792,25.547491273910115,39.73 %
60771,25.533006195788634,39.27 %
60870,25.243073930187347,38.81 %
60632,24.961414172607142,38.36 %
