user_id,average_score,rank(percent)
60695,57.26020408163265,100.00 %
60759,53.40976302034126,99.57 %
60733,52.4930351387083,99.14 %
3544,52.026766630227755,98.71 %
60756,51.97182266009852,98.28 %
60690,51.90447378100352,97.84 %
60900,51.702573833720244,97.41 %
60764,51.45719977180581,96.98 %
60714,51.448466352155386,96.55 %
60620,50.73469291223177,96.12 %
60589,50.500746569835364,95.69 %
60790,50.34403940886699,95.26 %
60724,50.13835533575263,94.83 %
60742,49.55567062580927,94.40 %
60720,49.19746194437389,93.97 %
60768,49.19428571428571,93.53 %
60658,48.7902200445147,93.10 %
61135,47.60578218168167,92.67 %
60603,47.53863001541514,92.24 %
60683,47.49645538846938,91.81 %
60667,46.482857142857135,91.38 %
60722,46.158979350607375,90.95 %
60706,45.7140586379279,90.52 %
60738,45.34510220684434,90.09 %
60794,45.20129289208678,89.66 %
61097,45.161725888944815,89.22 %
60602,44.87896567600898,88.79 %
60885,44.59625,88.36 %
61019,44.53235023041475,87.93 %
60832,43.79628168112629,87.50 %
60697,43.47787667514332,87.07 %
60673,43.33830174280763,86.64 %
60723,42.499219554784375,86.21 %
60625,42.428184823559775,85.78 %
60688,41.98431017769803,85.34 %
60781,41.92522440098399,84.91 %
60737,41.753274013328586,84.48 %
61046,41.50967022915513,84.05 %
60635,41.33400346968356,83.62 %
60753,41.205445965755914,83.19 %
60644,41.200849402577155,82.76 %
61048,41.18185686013036,82.33 %
60651,41.06140062761069,81.90 %
60773,40.99732142857143,81.47 %
60699,40.95910449517885,81.03 %
60580,40.74633502402043,80.60 %
60686,40.41993483413402,80.17 %
60649,40.27319153299829,79.74 %
60839,40.25589606593516,79.31 %
60619,40.15337994888652,78.88 %
60731,39.95057774850546,78.45 %
60591,39.922891466953146,78.02 %
60621,39.85025601952542,77.59 %
60771,39.74108996101568,77.16 %
61053,39.54735932753539,76.72 %
60833,39.40054134859903,76.29 %
60592,39.28589024511403,75.86 %
60812,39.09612325764382,75.43 %
60691,38.91439826608065,75.00 %
60676,38.753130089296164,74.57 %
60730,38.70395934543687,74.14 %
60601,38.51561904761904,73.71 %
61519,38.28810638300288,73.28 %
61406,38.14774813090661,72.84 %
60679,37.89714285714285,72.41 %
60634,37.821028194292616,71.98 %
61094,37.797682542371895,71.55 %
60665,37.56463957476903,71.12 %
60891,37.498647712292495,70.69 %
60652,37.49709311823999,70.26 %
60606,37.436428571428564,69.83 %
60715,37.41457059287101,69.40 %
60721,37.307774537249216,68.97 %
58758,37.06897959183674,68.53 %
60642,37.03503671805212,68.10 %
60778,36.81856638908338,67.67 %
60899,36.81679134859903,67.24 %
60895,36.72307320958044,66.81 %
60581,36.68541874906981,66.38 %
60622,36.65641614648831,65.95 %
60762,36.57340945239354,65.52 %
48102,36.36783068783069,65.09 %
60675,35.94197022636034,64.66 %
60750,35.87163265306122,64.22 %
60775,35.784711043962176,63.79 %
60769,35.72039723534039,63.36 %
60598,35.69050700904307,62.93 %
60707,35.67755960602845,62.50 %
60631,35.61420555529432,62.07 %
60787,35.57260755551636,61.64 %
60653,35.40115696020855,61.21 %
60671,34.890804092382474,60.78 %
60755,34.773415690297796,60.34 %
60889,34.42410249373396,59.91 %
60799,34.383169122719565,59.48 %
60896,34.33603195370311,59.05 %
60610,34.33104190375752,58.62 %
59308,34.230893135500395,58.19 %
