user_id,average_score,rank(percent)
58547,6.536420454545453,100.00 %
60686,6.277679558011048,99.63 %
60891,5.916666666666667,99.25 %
60640,5.899540229885058,98.88 %
60641,5.715729166666667,98.51 %
60794,5.559816513761467,98.13 %
60676,5.4248322147651,97.76 %
60705,5.33290502793296,97.39 %
39200,5.244315789473685,97.01 %
60719,5.075833333333334,96.64 %
60619,4.928608247422679,96.27 %
58758,4.858588957055215,95.90 %
60714,4.577241379310345,95.52 %
60645,4.4924,95.15 %
60662,4.48493670886076,94.78 %
59137,4.33830303030303,94.40 %
60608,4.33568306010929,94.03 %
48117,4.318333333333333,93.66 %
60692,4.302908163265307,93.28 %
60700,4.2946428571428585,92.91 %
60870,4.24625641025641,92.54 %
48102,4.2372327044025155,92.16 %
60694,4.226114649681529,91.79 %
60759,4.225434782608696,91.42 %
60793,4.214743589743589,91.04 %
60707,4.171428571428571,90.67 %
60580,4.155760869565218,90.30 %
60581,4.119263803680982,89.93 %
60901,4.088125000000001,89.55 %
60598,4.05614973262032,89.18 %
60696,4.028875,88.81 %
60768,3.932603550295858,88.43 %
58744,3.8530769230769235,88.06 %
47996,3.836582278481013,87.69 %
49361,3.823352941176471,87.31 %
60695,3.8088000000000006,86.94 %
60750,3.6265445026178016,86.57 %
60624,3.56,86.19 %
60730,3.5208670520231213,85.82 %
60772,3.3669387755102043,85.45 %
61020,3.2319047619047616,85.07 %
60587,3.2076821192052987,84.70 %
60683,3.167452229299363,84.33 %
60632,3.0740677966101697,83.96 %
60769,3.0677857142857143,83.58 %
60713,3.0666666666666664,83.21 %
50263,3.0596470588235287,82.84 %
49405,3.0563276836158186,82.46 %
60771,3.019090909090909,82.09 %
61019,2.893435582822086,81.72 %
60678,2.8663815789473683,81.34 %
60605,2.755865384615385,80.97 %
60835,2.657109826589595,80.60 %
8160,2.5763576158940396,80.22 %
60812,2.53948275862069,79.85 %
60799,2.5056172839506172,79.48 %
60737,2.3574033149171267,79.10 %
60654,2.3383838383838387,78.73 %
60734,2.3157988165680474,78.36 %
60667,2.15,77.99 %
60775,2.0939189189189182,77.61 %
58834,2.0653333333333337,77.24 %
47329,2.02864,76.87 %
60653,2.0164516129032255,76.49 %
60628,2.013061224489796,76.12 %
39021,1.9363157894736842,75.75 %
60889,1.9103825136612023,75.37 %
60810,1.8215555555555556,75.00 %
58610,1.7844910179640718,74.63 %
61143,1.7051851851851854,74.25 %
58634,1.6932539682539685,73.88 %
60828,1.5232500000000002,73.51 %
60797,1.4771186440677968,73.13 %
60630,1.4448387096774193,72.76 %
60691,1.3560752688172042,72.39 %
47920,1.3349579831932774,72.01 %
60739,1.3326206896551724,71.64 %
60634,1.3229518072289157,71.27 %
61406,1.3010240963855424,70.90 %
60755,1.1444848484848484,70.52 %
61046,1.132,70.15 %
60774,1.1229411764705883,69.78 %
60675,1.1104587155963301,69.40 %
60583,1.11,69.03 %
8246,1.0641269841269845,68.66 %
60763,1.0166666666666666,68.28 %
61053,0.9171428571428571,67.91 %
16304,0.8932330827067669,67.54 %
49687,0.8248437499999999,67.16 %
8317,0.8219200000000001,66.79 %
60899,0.8109774436090225,66.42 %
60742,0.7755952380952381,66.04 %
8318,0.7289312977099237,65.67 %
61212,0.5577272727272727,65.30 %
58616,0.43442307692307686,64.93 %
48083,0.4147058823529412,64.55 %
34511,0.4075,64.18 %
60606,0.36461038961038944,63.81 %
39160,0.2549444444444445,63.43 %
60698,0.25331578947368427,63.06 %
60716,0.2430102040816327,62.69 %
