user_id,average_score,rank(percent)
60695,57.974489795918366,100 %
60759,54.095835040890286,99.54 %
60733,53.17579604823106,99.09 %
60756,52.66147783251231,98.63 %
60690,52.58493660289591,98.17 %
60900,52.36695004220023,97.72 %
60714,52.178436189271636,97.26 %
60764,52.13435571645583,96.80 %
60620,51.41331553521135,96.35 %
60589,51.17790251448539,95.89 %
60790,51.033694581280784,95.43 %
60724,50.821116245275384,94.98 %
60742,50.2323582009982,94.52 %
60768,50.103376623376626,94.06 %
60720,49.89054785004952,93.61 %
60658,49.44126357994407,93.15 %
61135,48.265676167489985,92.69 %
60603,48.22470203596417,92.24 %
60683,48.1631296845797,91.78 %
60722,46.59403804309431,91.32 %
60667,46.482857142857135,90.87 %
60706,46.32428149887643,90.41 %
60738,45.967597514417086,89.95 %
60602,45.56225080066319,89.50 %
60794,45.1972764463901,89.04 %
61097,45.13241259179467,88.58 %
60697,43.47037196262656,88.13 %
60885,43.34625,87.67 %
60673,43.323497852088224,87.21 %
61019,43.24202764976958,86.76 %
60688,42.64303121816278,86.30 %
60832,42.59167242002874,85.84 %
60723,42.48908860188442,85.39 %
60625,42.41795734003085,84.93 %
60651,42.36161523032735,84.47 %
60781,41.91505367427791,84.02 %
60753,41.76379296993567,83.56 %
61046,41.49473335336277,83.11 %
61048,41.17993257486965,82.65 %
60644,41.17498697069445,82.19 %
60699,40.93524807617768,81.74 %
60737,40.72862350337482,81.28 %
60580,40.688743803561245,80.82 %
60621,40.41835039967016,80.37 %
60649,40.262084109451614,79.91 %
60839,40.22103436708656,79.45 %
60771,40.08352877931273,79.00 %
60731,39.94422126031977,78.54 %
60591,39.89285759457536,78.08 %
60773,39.74732142857143,77.63 %
60686,39.45287182634737,77.17 %
60592,39.233614352901164,76.71 %
61519,38.929154382714614,76.26 %
60691,38.835044345794465,75.80 %
60730,38.74984344582263,75.34 %
60601,38.51561904761904,74.89 %
60833,38.51413953861769,74.43 %
61053,38.26413527963526,73.97 %
60812,38.12289932444171,73.52 %
60652,37.95832043288122,73.06 %
60679,37.89714285714285,72.60 %
60676,37.789926872931204,72.15 %
58758,37.78326530612244,71.69 %
60642,37.67028338273725,71.23 %
61406,37.41438935410761,70.78 %
60891,37.39288786735542,70.32 %
60721,37.28311488348375,69.86 %
48102,37.10857142857142,69.41 %
60778,36.81175837914829,68.95 %
60622,36.602146901248055,68.49 %
60750,36.585918367346935,68.04 %
60665,36.54908918180369,67.58 %
60715,36.448596955883815,67.12 %
61094,36.227938954488565,66.67 %
60598,36.17138678453212,66.21 %
60653,36.10706514740381,65.75 %
60675,35.893667818342216,65.30 %
60899,35.87712652768073,64.84 %
60787,35.70508285522835,64.38 %
