user_id,average_score,rank(percent)
60686,39.87677121950749,100 %
60591,39.668306637516174,99.57 %
60667,39.547131832331935,99.14 %
60580,39.500709083565454,98.71 %
48102,39.41717006318184,98.28 %
60606,39.38542857142856,97.85 %
60810,39.36516260865967,97.42 %
58758,38.968161069280036,97.00 %
59308,38.81955123818168,96.57 %
60634,38.60785714285714,96.14 %
60697,38.54412698412698,95.71 %
60723,38.442449487619776,95.28 %
61019,38.38547569531157,94.85 %
60676,38.37859450280136,94.42 %
60781,38.344783204240855,93.99 %
60699,38.26084246107386,93.56 %
60695,38.197084548104954,93.13 %
60759,38.110550447602435,92.70 %
60635,37.24916771663889,92.27 %
60698,37.18682936607037,91.85 %
60885,36.76586880329387,91.42 %
60791,36.57067579333587,90.99 %
60750,36.35929814060459,90.56 %
61048,36.31617705150607,90.13 %
60812,36.26012557253166,89.70 %
60630,36.197037773252,89.27 %
60832,36.192695520558246,88.84 %
60598,36.03369527136524,88.41 %
60737,35.98073931606424,87.98 %
60601,35.81055320502534,87.55 %
60773,35.80757142857142,87.12 %
60891,35.699727054308376,86.70 %
60768,35.58027248811176,86.27 %
47329,35.57335202164762,85.84 %
60624,35.477576064101086,85.41 %
60794,35.40393712706511,84.98 %
60870,35.246872998191336,84.55 %
60661,35.15561054535317,84.12 %
60683,35.0934579779288,83.69 %
60649,35.07689565013173,83.26 %
60899,34.54207032703424,82.83 %
60751,34.53053186156542,82.40 %
60690,34.41399852084094,81.97 %
61053,34.39227818362409,81.55 %
61097,34.35142857142857,81.12 %
34511,34.339999999999996,80.69 %
60828,34.23150532882313,80.26 %
61046,34.22967870570141,79.83 %
60691,34.22789625854047,79.40 %
60756,34.073052679354,78.97 %
60592,33.96774334782315,78.54 %
60747,33.963431358700284,78.11 %
60616,33.934429238057156,77.68 %
60752,33.92274450566511,77.25 %
60653,33.73955291190708,76.82 %
60631,33.608494526117525,76.39 %
60715,33.588094247766,75.97 %
49405,33.56584512935536,75.54 %
60720,33.535887279349915,75.11 %
60639,33.50065589114282,74.68 %
60604,33.47473964037493,74.25 %
60724,33.44719186566448,73.82 %
60619,33.3708474821296,73.39 %
60585,33.34442034480493,72.96 %
39021,33.24422316376557,72.53 %
60658,33.04941744329593,72.10 %
61406,33.0028977017529,71.67 %
60610,32.873002575799084,71.24 %
60678,32.69267881284458,70.82 %
60638,32.670685337137634,70.39 %
61659,32.660937056583506,69.96 %
60764,32.606421473906714,69.53 %
60614,32.585398844692776,69.10 %
61212,32.54254142368098,68.67 %
60895,32.49039386696019,68.24 %
60644,32.454542055924584,67.81 %
60589,32.40986246854793,67.38 %
60692,32.33160277929728,66.95 %
60696,32.31326674077082,66.52 %
60673,32.29998637718973,66.09 %
60620,32.27784873888269,65.67 %
60900,32.254270833636795,65.24 %
60833,32.145671362025986,64.81 %
60662,32.08309916604554,64.38 %
