user_id,average_score,rank(percent)
60713,91.51428571428569,100 %
61019,90.1073819636295,99.61 %
49315,87.65142857142857,99.22 %
47329,87.25630159263076,98.83 %
48102,86.74217700667424,98.44 %
60616,86.57588006617348,98.05 %
60768,86.53383933953914,97.66 %
60662,86.50097222646822,97.27 %
60828,86.15621686547527,96.88 %
60885,85.84226088736328,96.48 %
60751,85.77947268865245,96.09 %
60695,85.13144315273993,95.70 %
60750,84.99083913077443,95.31 %
40552,84.84,94.92 %
39190,84.75955369544549,94.53 %
60690,84.23242107841679,94.14 %
61048,84.20841437334822,93.75 %
60624,84.17955890979576,93.36 %
50263,83.85525204666538,92.97 %
60608,83.78535116405354,92.58 %
60794,83.64726841166593,92.19 %
60689,83.57142857142857,91.80 %
60620,83.46350340466557,91.41 %
60683,83.44671211390111,91.02 %
58586,83.14458952303545,90.62 %
61212,82.76925323197949,90.23 %
60697,82.6841418890492,89.84 %
58758,82.52535337777728,89.45 %
60594,82.42183155801904,89.06 %
60679,82.25537514622965,88.67 %
60759,82.21854263545964,88.28 %
39160,82.19917200666977,87.89 %
60628,81.55804320574198,87.50 %
60698,81.49878787136694,87.11 %
60637,81.44156248828737,86.72 %
60719,81.29806995343263,86.33 %
60603,81.27726720335963,85.94 %
60630,81.04617777893701,85.55 %
60598,80.81642586400007,85.16 %
60658,80.67942608475842,84.77 %
60724,80.66930631992956,84.38 %
60589,80.60618237717217,83.98 %
60635,80.48683039769351,83.59 %
60661,80.43104054035827,83.20 %
60653,80.37045333676106,82.81 %
60580,80.32882010524423,82.42 %
60720,80.1776443817675,82.03 %
60737,79.79840418917914,81.64 %
60764,79.46060135922019,81.25 %
60639,79.45045668142946,80.86 %
60686,79.31856361002404,80.47 %
60591,79.20556630951589,80.08 %
47996,79.0564596273292,79.69 %
60756,78.80785694084148,79.30 %
59308,78.50560390085039,78.91 %
61659,78.17287102286733,78.52 %
60667,77.99261850787794,78.12 %
60585,77.51594678402883,77.73 %
60773,76.89028710965276,77.34 %
60899,76.84714656493318,76.95 %
60638,76.53788889610291,76.56 %
60659,76.420370736155,76.17 %
60723,76.12354376780414,75.78 %
39200,75.76189015364069,75.39 %
60742,75.71629696659564,75.00 %
60896,75.71464491844844,74.61 %
60602,75.65643075577809,74.22 %
60665,75.6520846705057,73.83 %
60634,75.35629363677059,73.44 %
60699,75.34739743285705,73.05 %
58610,75.20520629190861,72.66 %
58575,75.19933164358207,72.27 %
60601,74.90667944970949,71.88 %
58547,74.76318115539361,71.48 %
47879,74.74777700501564,71.09 %
60739,74.59666285402457,70.70 %
60728,74.49331899355678,70.31 %
60649,74.40513648252407,69.92 %
58822,74.33389875752985,69.53 %
59137,74.25778844300771,69.14 %
60610,73.88664206520691,68.75 %
60715,73.86958318716759,68.36 %
60693,73.72425655322031,67.97 %
60673,73.20922549835659,67.58 %
60812,73.09433043540535,67.19 %
60791,72.72103632094071,66.80 %
60752,72.36738992445186,66.41 %
60604,72.24319799477679,66.02 %
61097,71.72926111544614,65.62 %
60747,71.71028046897216,65.23 %
60781,71.67711191252477,64.84 %
60672,71.54498685004862,64.45 %
60706,71.44119787188703,64.06 %
60645,71.22949667507095,63.67 %
61046,71.16856323006904,63.28 %
60753,71.12819670945188,62.89 %
59140,71.06151560476306,62.50 %
48090,70.90244532854386,62.11 %
60657,70.89427530308473,61.72 %
60714,70.87999504178568,61.33 %
61406,70.87891832094266,60.94 %
61135,70.85868777992354,60.55 %
60895,70.40927123110288,60.16 %
60774,70.04771381675243,59.77 %
60722,69.91355110818678,59.38 %
60770,69.91350446299218,58.98 %
8160,69.90956538861096,58.59 %
60606,69.26864191653569,58.20 %
60614,69.26658516158524,57.81 %
58778,69.0737314416432,57.42 %
60691,68.72802342410118,57.03 %
60758,68.7226778873455,56.64 %
60833,68.71818543339106,56.25 %
60590,68.67922974530188,55.86 %
60727,68.46314902176984,55.47 %
60711,68.44163552758377,55.08 %
60832,68.40849827980172,54.69 %
61519,68.27816185841107,54.30 %
60866,67.8593969932084,53.91 %
60619,67.82504121722118,53.52 %
60769,67.65489409749647,53.12 %
60652,67.63819838316766,52.73 %
60676,67.60143365937572,52.34 %
60651,67.50366979630549,51.95 %
60733,67.36934485960481,51.56 %
52592,66.77613522502813,51.17 %
60778,66.71017787728007,50.78 %
60900,66.6648419493558,50.39 %
61715,66.61870783185638,50.00 %
60631,66.57668466918923,49.61 %
60761,66.566551029625,49.22 %
60613,66.32633743167057,48.83 %
60692,66.03729646719441,48.44 %
60790,66.0252791537134,48.05 %
60675,65.99725490322831,47.66 %
60641,65.56330392284826,47.27 %
58744,65.55753934578254,46.88 %
58865,65.51677751111282,46.48 %
61053,65.38681991044093,46.09 %
60660,65.31806320496769,45.70 %
60891,65.0063551913874,45.31 %
60738,64.82946224590522,44.92 %
60644,64.43890937425215,44.53 %
60587,63.871721172734766,44.14 %
60669,63.57310232892564,43.75 %
60734,63.46800301935774,43.36 %
60647,63.135687252012495,42.97 %
60799,63.10382660603431,42.58 %
60707,63.05989276052178,42.19 %
60717,63.01137217227154,41.80 %
60592,62.94711185427588,41.41 %
48721,62.895332864985775,41.02 %
60671,62.775174153312776,40.62 %
49361,62.29066833646925,40.23 %
60870,61.5529343188322,39.84 %
58834,61.479872525632125,39.45 %
60611,61.31760262281366,39.06 %
47774,61.11821503686417,38.67 %
60642,61.11550158498461,38.28 %
60615,60.97924279312055,37.89 %
60621,60.87027675983395,37.50 %
39021,60.683745310215166,37.11 %
60788,60.479274252445926,36.72 %
34511,60.39333333333334,36.33 %
60700,60.31441295056577,35.94 %
60829,60.148601498152054,35.55 %
60696,60.07288868266154,35.16 %
60710,59.973974259038876,34.77 %
60654,59.971166046366044,34.38 %
60584,59.96975198255038,33.98 %
60762,59.93784380781146,33.59 %
51584,59.88567585525783,33.20 %
60787,59.75332285267657,32.81 %
60721,59.38146545870061,32.42 %
60775,59.359762393279354,32.03 %
60599,58.50255801800484,31.64 %
60703,58.345515693398035,31.25 %
60617,58.039480889597264,30.86 %
49405,57.98382580270827,30.47 %
60625,57.95757278811698,30.08 %
60771,56.03672920811218,29.69 %
60593,55.24783517363434,29.30 %
60765,54.95198067869442,28.91 %
60581,54.589159758783985,28.52 %
61132,54.295233317311904,28.12 %
60694,53.754181275862585,27.73 %
61143,53.418818091919405,27.34 %
60643,53.23451332495286,26.95 %
60730,53.15765403638569,26.56 %
47961,52.909033741257105,26.17 %
58634,52.87857691097321,25.78 %
60622,52.82254892889494,25.39 %
60678,52.15314872865597,25.00 %
61020,52.05592788498846,24.61 %
61106,51.77511005770007,24.22 %
60688,51.51122251368414,23.83 %
48025,51.387673164240404,23.44 %
48117,51.29857169937776,23.05 %
60731,50.58685266634717,22.66 %
40186,50.48119441951635,22.27 %
8318,50.35042898707391,21.88 %
49687,50.11811566022598,21.48 %
47920,49.50794037176985,21.09 %
60705,49.28922097606542,20.70 %
47937,49.22070761006707,20.31 %
16304,49.094295639892024,19.92 %
60677,48.424986708894416,19.53 %
60668,48.32684301860928,19.14 %
8317,48.00654780595995,18.75 %
60595,47.81272232874507,18.36 %
8246,47.748109982805715,17.97 %
60636,47.56151701381309,17.58 %
60670,47.46227547149558,17.19 %
60666,47.30050707934555,16.80 %
60763,47.19194636096009,16.41 %
59018,47.021539775949314,16.02 %
60632,46.48062232487681,15.62 %
60827,45.955904941785576,15.23 %
58616,45.52983040136565,14.84 %
60797,45.204033435269366,14.45 %
60839,45.02030803957089,14.06 %
60785,45.00688441156226,13.67 %
60760,44.65550618103226,13.28 %
60716,43.867861633554966,12.89 %
48083,43.797466729053,12.50 %
60708,42.99869346770999,12.11 %
60648,42.529645588364964,11.72 %
60825,40.79510425016809,11.33 %
60640,39.94349684183636,10.94 %
60712,39.82899251887417,10.55 %
60618,38.85938025354687,10.16 %
61094,38.577492334359206,9.77 %
60810,37.91722380147589,9.38 %
58585,37.85074405942472,8.98 %
60796,37.84633175448161,8.59 %
60749,37.59734997351423,8.20 %
60746,37.490548022337286,7.81 %
60793,35.581132014992136,7.42 %
60627,35.14680273782255,7.03 %
60605,32.02142295285659,6.64 %
60772,30.122749003625348,6.25 %
60586,27.07640695255332,5.86 %
60901,25.604434552222866,5.47 %
49823,25.35370521097861,5.08 %
60623,21.017835944730265,4.69 %
60725,17.98747270835379,4.30 %
3544,16.33131500006139,3.91 %
60578,13.71428571428571,3.52 %
60822,13.71428571428571,3.52 %
60782,9.861212503994443,2.73 %
2843,7.951510581379369,2.34 %
60836,5.450228169289594,1.95 %
60583,4.475999999999999,1.56 %
61035,0.0,1.17 %
61074,0.0,1.17 %
39201,0.0,1.17 %
