user_id,average_score,rank(percent)
60724,74.28571428571429,100 %
60589,72.17999999999998,99.54 %
61019,69.1,99.08 %
60768,68.23642857142856,98.62 %
60885,62.95430570196119,98.16 %
61132,60.57812872111331,97.70 %
60686,56.077110392730965,97.24 %
60603,54.84380952380952,96.77 %
60630,54.285714285714285,96.31 %
60679,52.06285714285714,95.85 %
60690,52.04685024175734,95.39 %
60750,52.020781172083176,94.93 %
60720,51.62522317033216,94.47 %
60773,48.04259502785134,94.01 %
60624,48.037142857142854,93.55 %
60766,47.46287213361376,93.09 %
48102,47.394285714285715,92.63 %
60658,46.781717540131396,92.17 %
49405,46.020053414610736,91.71 %
58758,45.36857142857142,91.24 %
60620,45.307976110129594,90.78 %
60738,44.15260668655428,90.32 %
60691,43.359077136115346,89.86 %
60639,43.28,89.40 %
60637,42.47263653683509,88.94 %
60628,41.68190476190476,88.48 %
60899,41.657352727735386,88.02 %
60587,41.22542580263111,87.56 %
60764,41.09086202545903,87.10 %
58547,40.66404190113223,86.64 %
58586,40.04249427884651,86.18 %
60889,39.26851524837564,85.71 %
60898,39.14285714285714,85.25 %
61041,38.379999999999995,84.79 %
39200,38.125156352121444,84.33 %
60662,37.543650773824474,83.87 %
60601,37.42964408707372,83.41 %
60896,37.255106508723266,82.95 %
60580,36.9897330335921,82.49 %
60733,36.545366085475415,82.03 %
60756,36.54299666056499,81.57 %
60667,36.08806233775131,81.11 %
61046,35.91428571428571,80.65 %
60742,35.485190343248306,80.18 %
60787,35.26877551020407,79.72 %
59018,34.88361424416487,79.26 %
39160,34.851407473371246,78.80 %
60751,34.457142857142856,78.34 %
60673,34.160608149167885,77.88 %
60777,34.07309442133555,77.42 %
60621,34.01441981392447,76.96 %
60759,33.97494307522631,76.50 %
60598,33.420627235654564,76.04 %
60757,33.381460740615104,75.58 %
60614,33.13190961108124,75.12 %
60665,32.82818921211057,74.65 %
61048,32.72571428571428,74.19 %
60677,32.56584969736335,73.73 %
60635,32.34470016090542,73.27 %
59308,32.283892541777014,72.81 %
47996,31.827936507936506,72.35 %
60719,31.606360557311394,71.89 %
60776,31.54459984832063,71.43 %
60683,31.54224454529492,70.97 %
60676,31.464254649784444,70.51 %
60591,30.832222018035395,70.05 %
60594,30.70142857142857,69.59 %
60698,30.504437076491538,69.12 %
60753,30.48265052568585,68.66 %
60737,30.425558585121255,68.20 %
60771,30.389795918367344,67.74 %
60602,30.315102040816328,67.28 %
61135,30.173061224489793,66.82 %
60891,30.11044944285077,66.36 %
60615,29.912866181472523,65.90 %
61659,29.682448979591836,65.44 %
60710,29.444489795918365,64.98 %
60792,29.342448979591836,64.52 %
60661,29.250612244897955,64.06 %
60799,29.15383422178341,63.59 %
60694,29.127039934665873,63.13 %
60606,28.738781958377846,62.67 %
60641,28.392377012542564,62.21 %
60755,28.276886051059908,61.75 %
60610,28.23065781861894,61.29 %
60706,28.197142857142858,60.83 %
60717,27.854064201418073,60.37 %
60585,27.787755102040812,59.91 %
60739,27.559621818247912,59.45 %
60846,27.287682052988917,58.99 %
60617,27.124493633625256,58.53 %
60593,26.891693542850902,58.06 %
60653,26.475517996056787,57.60 %
59137,26.393172968812397,57.14 %
60634,26.28925170068027,56.68 %
60608,26.04467532467532,56.22 %
60788,25.88010026370814,55.76 %
60722,25.818671623568047,55.30 %
58575,25.632857142857137,54.84 %
47774,25.305830727789658,54.38 %
52592,24.912142857142854,53.92 %
60631,24.850675661047724,53.46 %
61406,24.679592697555204,53.00 %
58610,24.51142857142857,52.53 %
60767,24.240700393227762,52.07 %
60760,23.403290881255682,51.61 %
60695,23.357460317460315,51.15 %
60640,23.282180169654396,50.69 %
60832,23.20114797278557,50.23 %
60671,22.998614817151672,49.77 %
60590,22.94844514225884,49.31 %
60638,22.620626318361783,48.85 %
60622,22.59535274664059,48.39 %
60770,22.24585384924201,47.93 %
60643,22.21047619047619,47.47 %
60752,21.99784678647929,47.00 %
60647,21.851244669168473,46.54 %
60876,21.835854208146337,46.08 %
60734,21.82771087290907,45.62 %
60870,21.758907449743585,45.16 %
47961,21.446968877461735,44.70 %
60660,21.083333802991167,44.24 %
60668,21.012253379639425,43.78 %
60758,20.981184758275088,43.32 %
60672,20.945714285714285,42.86 %
60604,20.9169722633414,42.40 %
60769,20.561211588826936,41.94 %
60670,20.54943324692178,41.47 %
60715,20.415115411148996,41.01 %
60652,20.224126984126983,40.55 %
60636,19.9296088118565,40.09 %
60648,19.589007926814883,39.63 %
49361,19.2455960241435,39.17 %
60716,18.915800425615995,38.71 %
60654,18.733630324228624,38.25 %
60599,18.504111614166277,37.79 %
60761,18.39243583626056,37.33 %
59140,18.206190476190475,36.87 %
60795,18.173639381665385,36.41 %
48721,18.07767857142857,35.94 %
60619,17.857084973972754,35.48 %
60669,17.822857142857142,35.02 %
60837,17.31904828998738,34.56 %
60678,17.316762264177303,34.10 %
60782,17.19149405614136,33.64 %
60703,17.154534129001252,33.18 %
58822,17.136190476190475,32.72 %
58778,16.862870421747417,32.26 %
60746,16.745714285714286,31.80 %
60592,16.702990077332615,31.34 %
60586,16.449861389346758,30.88 %
60866,16.26006679666441,30.41 %
60692,16.206157680024592,29.95 %
61053,16.140244184657018,29.49 %
60625,16.04,29.03 %
60895,15.90259136475622,28.57 %
61143,15.71428571428571,28.11 %
58585,15.593105287632595,27.65 %
60727,15.388136472226627,27.19 %
40186,15.11770802352564,26.73 %
60693,15.108623089961364,26.27 %
60825,14.932886436196261,25.81 %
47937,14.739743835867287,25.35 %
60812,14.715094821137198,24.88 %
60762,14.559768069184589,24.42 %
60829,14.53517663880789,23.96 %
60618,14.21138606140899,23.50 %
58634,14.12238095238095,23.04 %
58616,13.778095238095238,22.58 %
60649,13.56835164835165,22.12 %
60605,13.521252398907496,21.66 %
60688,13.382230145386984,21.20 %
60772,13.203452299546996,20.74 %
48117,13.185146995479444,20.28 %
60657,12.792857142857143,19.82 %
60623,12.732521583944584,19.35 %
60705,12.37155732550565,18.89 %
47920,12.316709747193988,18.43 %
60696,12.179801106983291,17.97 %
60632,12.01532669747232,17.51 %
60581,11.949280323949166,17.05 %
60644,11.421538461538463,16.59 %
60833,11.065909932639501,16.13 %
8317,10.849428571428572,15.67 %
60810,10.576525566823758,15.21 %
60611,10.500452769001086,14.75 %
48025,9.818412698412697,14.29 %
48090,9.707689004483223,13.82 %
60790,9.003997319321758,13.36 %
60708,8.999989945447538,12.90 %
60839,8.981978021978021,12.44 %
60775,8.878230043185066,11.98 %
16304,8.83168956807509,11.52 %
8160,8.708571428571428,11.06 %
49687,8.63355179226948,10.60 %
8318,8.603085794798485,10.14 %
8246,8.464710854965052,9.68 %
60900,8.030593548619018,9.22 %
61094,8.018396464585171,8.76 %
60595,7.7933243083668255,8.29 %
60785,7.096158365903845,7.83 %
48083,6.964925143608654,7.37 %
60774,6.615962430489737,6.91 %
60835,6.448886241128604,6.45 %
60666,5.149208824787145,5.99 %
49823,4.537058710998149,5.53 %
60749,3.895928799854739,5.07 %
60627,2.801515055601213,4.61 %
60763,2.2853676870089124,4.15 %
60730,1.6540065107822717,3.69 %
60725,0.5590062111801241,3.23 %
51584,0.0,2.76 %
60707,0.0,2.76 %
60901,0.0,2.76 %
61074,0.0,2.76 %
60675,0.0,2.76 %
60836,0.0,2.76 %
