user_id,all_score,rank(percent)
60885,17167.381114801385,100 %
60750,16882.713673319733,99.61 %
60620,16698.548585398155,99.22 %
58586,16646.448745540234,98.83 %
60598,16623.59465700243,98.44 %
60608,16605.960167843572,98.05 %
60759,16454.40716695457,97.66 %
60777,16357.750913396909,97.27 %
60637,16303.416235570212,96.88 %
60698,16193.920039102386,96.48 %
60690,16181.007723512308,96.09 %
60658,16144.814955967158,95.70 %
60589,16129.271280149858,95.31 %
60635,16099.321711023833,94.92 %
60695,16095.041745023384,94.53 %
60580,16056.236837726681,94.14 %
60889,15990.852538679323,93.75 %
60653,15968.657072296366,93.36 %
60594,15923.487830131891,92.97 %
60764,15901.172937505213,92.58 %
60661,15895.133784731317,92.19 %
60603,15855.237317604691,91.80 %
60591,15835.476421988787,91.41 %
60686,15789.849943035906,91.02 %
60756,15767.648675486389,90.62 %
60876,15759.120661580033,90.23 %
60667,15594.395230120632,89.84 %
60768,15585.6171010342,89.45 %
59308,15521.433088328287,89.06 %
60766,15464.022565757381,88.67 %
60585,15396.306005606259,88.28 %
60773,15377.876392708577,87.89 %
60757,15265.843138384827,87.50 %
60638,15202.089028479582,87.11 %
60742,15151.517176697393,86.72 %
60602,15138.44308649251,86.33 %
58758,15078.76106432334,85.94 %
60634,15072.514248452882,85.55 %
39160,15055.61213294474,85.16 %
58610,15055.352339760075,84.77 %
58575,15053.793069013152,84.38 %
60601,14977.958788171833,83.98 %
58547,14970.314664557118,83.59 %
58822,14884.24273410181,83.20 %
61019,14869.913383103676,82.81 %
59137,14864.288651295681,82.42 %
60649,14800.956802899434,82.03 %
60610,14768.504448047923,81.64 %
60737,14767.922317642327,81.25 %
60693,14760.881667446321,80.86 %
61041,14705.227249967444,80.47 %
60720,14600.595218294953,80.08 %
39200,14567.25438720222,79.69 %
60846,14424.816106309057,79.30 %
60752,14331.948765276169,78.91 %
60755,14242.421608888668,78.52 %
60706,14228.012517292289,78.12 %
61135,14181.5829535794,77.73 %
61406,14179.108786695118,77.34 %
59140,14155.656236466953,76.95 %
60683,14109.290835274574,76.56 %
60770,14002.02694691973,76.17 %
60724,13964.979397530153,75.78 %
60774,13955.783666785144,75.39 %
60673,13902.49495535753,75.00 %
60614,13854.167893492551,74.61 %
60606,13850.857211035634,74.22 %
60792,13817.588183088888,73.83 %
48102,13770.123053628427,73.44 %
58778,13757.903938594745,73.05 %
60835,13755.127236585213,72.66 %
60691,13744.280715697445,72.27 %
60758,13691.63051432525,71.88 %
60832,13687.01234791599,71.48 %
60753,13674.359713191729,71.09 %
60767,13668.347882239239,70.70 %
60590,13661.087855303465,70.31 %
60812,13604.727599734775,69.92 %
60795,13525.664148053316,69.53 %
60676,13521.73811751985,69.14 %
60733,13481.557620807616,68.75 %
60624,13449.79791053978,68.36 %
60619,13443.546239306568,67.97 %
60895,13381.090540440331,67.58 %
8160,13363.164858694669,67.19 %
60761,13334.943774536378,66.80 %
60631,13317.407795495019,66.41 %
60776,13314.001597195707,66.02 %
60900,13207.229399043003,65.62 %
60833,13199.35931360505,65.23 %
60692,13146.122613221629,64.84 %
60790,13145.057312583995,64.45 %
61659,13114.951862049262,64.06 %
60738,12980.3551407717,63.67 %
60644,12881.333445644117,63.28 %
60734,12711.438445164347,62.89 %
60727,12680.593590351873,62.50 %
60641,12659.972839629567,62.11 %
60898,12640.175168931975,61.72 %
60717,12628.152550412824,61.33 %
60592,12579.968062771442,60.94 %
60671,12564.1972754949,60.55 %
60739,12544.785205443883,60.16 %
60647,12541.531555842383,59.77 %
61048,12539.730725088539,59.38 %
49361,12477.743562846701,58.98 %
60657,12459.190111128612,58.59 %
60652,12455.132440838071,58.20 %
60660,12424.149680681527,57.81 %
60870,12332.2926451984,57.42 %
60611,12280.987429064628,57.03 %
60722,12253.650508567478,56.64 %
60621,12199.088247809992,56.25 %
60762,11992.573038757364,55.86 %
60787,11974.998447286103,55.47 %
60696,11948.106705263686,55.08 %
60899,11838.393370851849,54.69 %
60715,11825.186826131656,54.30 %
60604,11782.084219231501,53.91 %
60775,11759.806210893965,53.52 %
60703,11687.518546889858,53.12 %
60799,11685.151573167961,52.73 %
60599,11623.387411670903,52.34 %
49405,11611.581773924028,51.95 %
60617,11560.300704924834,51.56 %
47774,11445.028328074457,51.17 %
60829,11443.755982338887,50.78 %
60896,11439.06246316935,50.39 %
47329,11436.253751664115,50.00 %
60625,11347.35476934281,49.61 %
60771,11214.311315540595,49.22 %
61053,11125.110213344731,48.83 %
60593,11082.500543204074,48.44 %
60665,11048.564185020228,48.05 %
60719,10906.541662852025,47.66 %
61132,10887.368217599069,47.27 %
60581,10826.572931642495,46.88 %
60587,10802.764573188477,46.48 %
60788,10780.648090891287,46.09 %
60643,10658.520456979519,45.70 %
60730,10652.940689740135,45.31 %
60678,10435.125010109312,44.92 %
60710,10359.918417124145,44.53 %
60639,10333.965625441475,44.14 %
60688,10265.31063512434,43.75 %
58634,10217.214832876507,43.36 %
61519,9981.67863590567,42.97 %
60769,9957.882386507055,42.58 %
60694,9909.644740267428,42.19 %
60705,9887.251710958419,41.80 %
8318,9878.713090363794,41.41 %
47937,9860.207665016042,41.02 %
60751,9853.123299032615,40.62 %
49687,9833.666154138858,40.23 %
16304,9830.858401876914,39.84 %
52592,9626.163226019746,39.45 %
