user_id,average_score,rank(percent)
60827,47.58222222222222,100 %
60580,45.753008922322365,99.58 %
60628,44.841692938528794,99.15 %
60759,43.34633084629823,98.73 %
60667,43.29224489795918,98.31 %
60591,42.871163253271064,97.88 %
60690,41.913788062154595,97.46 %
60695,41.878320088671174,97.03 %
60768,41.03437298692179,96.61 %
60603,41.00831168831168,96.19 %
60683,40.851968176744386,95.76 %
60589,40.41994140574892,95.34 %
60601,40.29991836734693,94.92 %
60658,40.119971826480686,94.49 %
60651,39.94651262840059,94.07 %
60794,39.78512819620007,93.64 %
60742,39.71880037856442,93.22 %
60714,39.55904156101555,92.80 %
60620,39.54917350544685,92.37 %
60697,39.42917116047234,91.95 %
60625,39.10351020408163,91.53 %
60720,38.96722063287719,91.10 %
60706,38.035201497255365,90.68 %
61048,38.0267401449356,90.25 %
60699,37.51612955908513,89.83 %
60649,37.38802187891366,89.41 %
60723,37.32988048325739,88.98 %
60747,37.16879664388528,88.56 %
61212,36.82285714285714,88.14 %
60610,36.55091906943596,87.71 %
60738,36.532273800760834,87.29 %
60764,36.25907226138726,86.86 %
60790,36.135539133675806,86.44 %
60756,36.002506838780185,86.02 %
60781,35.76805461928715,85.59 %
60673,35.58680152155833,85.17 %
60753,34.88659440879806,84.75 %
60614,34.532472805679255,84.32 %
61519,34.437498358714,83.90 %
60630,34.285714285714285,83.47 %
60691,34.07776946417473,83.05 %
60602,33.89019093251756,82.63 %
61046,33.881389199999916,82.20 %
60711,33.33142857142857,81.78 %
60724,33.30545774733903,81.36 %
60737,33.28646213116717,80.93 %
60621,33.07659431229382,80.51 %
61019,32.64120314261042,80.08 %
60722,32.45240009048225,79.66 %
60608,31.914379195310715,79.24 %
60619,31.71434335228301,78.81 %
60733,31.666493506493502,78.39 %
60686,31.20242235311956,77.97 %
60719,31.16842593962497,77.54 %
61097,31.15459355847618,77.12 %
60662,31.069026332349228,76.69 %
61135,30.740268194678208,76.27 %
60622,30.709439512291496,75.85 %
60900,30.611846024115177,75.42 %
60771,30.589804957049925,75.00 %
60787,30.44682591531403,74.58 %
60652,30.383875293940136,74.15 %
60634,30.34178046393365,73.73 %
39200,30.248239024397837,73.31 %
60832,30.151417514769022,72.88 %
60587,30.08822123808409,72.46 %
60616,30.055026455026454,72.03 %
60653,30.051815387508384,71.61 %
60791,30.01752371589863,71.19 %
60812,29.996354763851222,70.76 %
49823,29.95420363305849,70.34 %
60624,29.611102040816323,69.92 %
60592,29.58584033577876,69.49 %
60755,29.5202235507737,69.07 %
60730,29.434038557339363,68.64 %
61715,29.42728414695126,68.22 %
60750,29.21534693877551,67.80 %
60707,29.159447004608293,67.37 %
60635,29.149310734118217,66.95 %
60644,29.027798657057897,66.53 %
60594,29.025468925217176,66.10 %
50263,29.006882920673075,65.68 %
58758,28.944,65.25 %
60632,28.853317654506228,64.83 %
48102,28.83641477776924,64.41 %
60642,28.720295402007398,63.98 %
60870,28.650579483433788,63.56 %
8160,28.63160877079151,63.14 %
39160,28.571831941395832,62.71 %
60765,28.487042606699692,62.29 %
60739,28.290072617145928,61.86 %
60899,28.263355473122655,61.44 %
59137,28.22096341046545,61.02 %
60891,28.156320627027196,60.59 %
58610,28.032876611998184,60.17 %
60692,27.819619966628984,59.75 %
60598,27.78368662131807,59.32 %
60696,27.714575073008906,58.90 %
60885,27.5094560610692,58.47 %
60835,27.50196382439563,58.05 %
49361,27.40747811980461,57.63 %
61406,27.358999789553096,57.20 %
58575,27.323487314797692,56.78 %
60889,27.28358833827297,56.36 %
52592,27.27633913881102,55.93 %
60641,27.061658468001717,55.51 %
61132,26.99286934648619,55.08 %
60703,26.88711852155728,54.66 %
60698,26.80326685096932,54.24 %
60639,26.790969308519102,53.81 %
61041,26.785314917997272,53.39 %
59140,26.527673469387754,52.97 %
60581,26.41379539577628,52.54 %
60637,26.384518922876108,52.12 %
60604,26.33909188059487,51.69 %
39190,26.260802202021164,51.27 %
58616,26.254539407793196,50.85 %
60606,26.007346938775505,50.42 %
60715,25.948221504658935,50.00 %
60799,25.84409222030351,49.58 %
58586,25.83834114934147,49.15 %
60716,25.835905445896838,48.73 %
60767,25.825632044416274,48.31 %
60773,25.805851300859597,47.88 %
60895,25.765290930104943,47.46 %
60833,25.75908359288593,47.03 %
60693,25.750681670835846,46.61 %
60657,25.55586785078154,46.19 %
59308,25.5412233221622,45.76 %
60752,25.46281743844145,45.34 %
60675,25.440081153514036,44.92 %
60829,25.367003187410347,44.49 %
60876,25.255798319327727,44.07 %
60751,25.219229397186506,43.64 %
60757,25.21506059847498,43.22 %
60590,25.157094230784324,42.80 %
58822,24.89146247303343,42.37 %
60611,24.85083911778551,41.95 %
60638,24.848263622433684,41.53 %
60661,24.830273162648524,41.10 %
48721,24.778664340335574,40.68 %
60769,24.72306570834993,40.25 %
60585,24.69779591836734,39.83 %
58547,24.68337727703112,39.41 %
61053,24.52779918702315,38.98 %
60777,24.427995934653737,38.56 %
60712,24.292845290495013,38.14 %
60792,24.27446468595766,37.71 %
60793,24.259921354136704,37.29 %
60705,24.13212907106545,36.86 %
60866,24.08638982883415,36.44 %
60665,23.994159874030892,36.02 %
60670,23.899994101496123,35.59 %
60647,23.868826426455726,35.17 %
60763,23.812571201535864,34.75 %
60721,23.8041947696541,34.32 %
60671,23.7800369901259,33.90 %
61659,23.738241758241756,33.47 %
60896,23.70613445378151,33.05 %
60766,23.60926888954587,32.63 %
48117,23.593506049417876,32.20 %
60672,23.588796705214175,31.78 %
60677,23.561606705422054,31.36 %
60898,23.486689940230374,30.93 %
60734,23.359982903029852,30.51 %
60678,23.33207942247405,30.08 %
60778,23.308645286699647,29.66 %
60631,23.14031047976736,29.24 %
60617,22.963673078347487,28.81 %
60654,22.929667578723297,28.39 %
60694,22.803740838849365,27.97 %
60776,22.79173352219398,27.54 %
60785,22.68552102014643,27.12 %
47961,22.593743954751222,26.69 %
60796,22.50983731846876,26.27 %
60846,22.449644438564803,25.85 %
58778,22.374078212612496,25.42 %
40186,21.91215737310701,25.00 %
60760,21.810553602676322,24.58 %
60666,21.597864425236697,24.15 %
60595,21.591610803613907,23.73 %
60717,21.372494768867135,23.31 %
60795,21.28596514285304,22.88 %
60648,21.248098294008546,22.46 %
49687,21.1738834437722,22.03 %
60615,21.164579521038103,21.61 %
16304,21.1497760661595,21.19 %
60837,21.070296665937768,20.76 %
59018,20.644999432351604,20.34 %
8246,20.5759720810879,19.92 %
60788,20.354894082021573,19.49 %
60727,20.349502730922918,19.07 %
60775,20.319781509554407,18.64 %
48083,20.2985392207266,18.22 %
60599,20.262083760581035,17.80 %
47920,20.15818857559214,17.37 %
60636,20.07662329598539,16.95 %
8317,19.934785107839282,16.53 %
47937,19.89413428465734,16.10 %
8318,19.86589522927579,15.68 %
40552,19.839999999999996,15.25 %
60668,19.77652509785569,14.83 %
60746,18.908283381401638,14.41 %
60660,18.760186405799566,13.98 %
60797,18.625350358207825,13.56 %
60643,18.591020408163264,13.14 %
60669,18.449417830773907,12.71 %
60676,18.195265306122444,12.29 %
47774,17.768765294270928,11.86 %
58634,17.660451630046502,11.44 %
49405,17.259546833915252,11.02 %
60749,17.22523444173879,10.59 %
60762,17.17540943702926,10.17 %
60593,17.160955747288398,9.75 %
60605,16.39986998203086,9.32 %
60618,16.212164709668418,8.90 %
60731,15.672423256730488,8.47 %
60688,15.660927387610096,8.05 %
60708,15.208890746932537,7.63 %
60839,14.799771919920984,7.20 %
48025,14.639407955545858,6.78 %
60710,14.527791215431156,6.36 %
51584,14.514491960598505,5.93 %
60623,13.60652962412068,5.51 %
60640,13.154134234483179,5.08 %
60725,13.010791763055721,4.66 %
60627,12.729200797543765,4.24 %
60772,12.34125128856253,3.81 %
58585,11.632224887814619,3.39 %
34511,10.357142857142856,2.97 %
60586,9.509149741234417,2.54 %
61094,7.543264139132111,2.12 %
60810,4.163265306122449,1.69 %
60782,0.2312925170068027,1.27 %
60901,0.0,0.85 %
60836,0.0,0.85 %
