user_id,average_score,rank(percent)
61097,90.27714285714285,100 %
60759,65.68340813756643,99.57 %
60768,65.59813264021179,99.14 %
60720,62.31357142857143,98.71 %
60742,62.12121085008858,98.28 %
60690,61.93,97.84 %
60603,61.476595208113224,97.41 %
60695,60.43642857142858,96.98 %
60620,59.33714285714286,96.55 %
60724,58.644642857142856,96.12 %
61135,58.114999999999995,95.69 %
60658,57.827790467264975,95.26 %
60714,56.9978231292517,94.83 %
60722,56.70798931405221,94.40 %
60602,54.569067992945726,93.97 %
60652,54.39541689493593,93.53 %
60683,54.25999999999999,93.10 %
60706,54.24071428571428,92.67 %
60753,52.462423315804905,92.24 %
60764,51.38512084869902,91.81 %
60589,50.34857142857143,91.38 %
60738,48.209749316701114,90.95 %
61019,48.081428571428575,90.52 %
60659,47.601844572283646,90.09 %
60900,45.775,89.66 %
60621,45.312150513004006,89.22 %
60635,44.1057913204005,88.79 %
60634,43.749047619047616,88.36 %
60896,43.08935064935064,87.93 %
60673,42.107532467532465,87.50 %
60787,41.763203542621454,87.07 %
60794,41.59280271252214,86.64 %
60756,40.924285714285716,86.21 %
47996,40.52628571428571,85.78 %
60625,40.458571428571425,85.34 %
60730,40.38519372341698,84.91 %
60580,40.170916094062385,84.48 %
60662,40.11485714285713,84.05 %
60833,39.62341489782744,83.62 %
60885,39.29857142857143,83.19 %
39200,39.07262760226423,82.76 %
60747,38.95190476190476,82.33 %
60642,38.87363847630858,81.90 %
60591,38.70647313658667,81.47 %
60733,38.655,81.03 %
61132,38.529554534060885,80.60 %
61048,38.50012987012986,80.17 %
49361,38.42493506493506,79.74 %
58610,38.34484269830598,79.31 %
58758,38.08806722689075,78.88 %
60790,37.9828664309763,78.45 %
60781,37.962380952380954,78.02 %
60699,37.869644138373594,77.59 %
60594,37.59376623376623,77.16 %
58575,37.49138898573039,76.72 %
59140,37.37828571428571,76.29 %
60649,37.28058728159929,75.86 %
60812,37.188582224237365,75.43 %
47774,37.121604648204936,75.00 %
60723,36.913516998236425,74.57 %
60791,36.90450919801875,74.14 %
60775,36.81706681274179,73.71 %
60691,36.811001877169076,73.28 %
48102,36.48068052451559,72.84 %
60694,36.31407379921136,72.41 %
58586,36.293986388327795,71.98 %
60895,36.14875983642354,71.55 %
60693,36.13610389610389,71.12 %
60624,36.12131316106587,70.69 %
39160,36.02753246753247,70.26 %
61519,35.97830118591109,69.83 %
60755,35.878319327731084,69.40 %
60703,35.78082431385748,68.97 %
60889,35.71166568837168,68.53 %
60610,35.51489644366063,68.10 %
60667,35.391392284538576,67.67 %
58822,35.354058525542015,67.24 %
60758,35.29794430399273,66.81 %
60598,35.2181512605042,66.38 %
60697,35.1958780916679,65.95 %
60750,35.05477911871395,65.52 %
60606,35.04450809163762,65.09 %
60614,34.81809176446069,64.66 %
52592,34.74619862574972,64.22 %
60891,34.62886519219295,63.79 %
60632,34.25862064386577,63.36 %
60721,34.211419207367925,62.93 %
60586,34.174532421383454,62.50 %
60770,34.100189807236816,62.07 %
60604,33.935428571428574,61.64 %
47920,33.87155112061617,61.21 %
8160,33.75012987012987,60.78 %
60587,33.456136393921064,60.34 %
60611,33.45216851893069,59.91 %
60719,33.329523809523806,59.48 %
60717,33.12844563729475,59.05 %
60876,33.07865546218487,58.62 %
60657,33.02420168067227,58.19 %
61659,32.75469387755102,57.76 %
60899,32.71428571428571,57.33 %
60688,32.675572463064086,56.90 %
59308,32.6598319327731,56.47 %
60615,32.556601449462114,56.03 %
60608,32.48941777685027,55.60 %
60710,32.463265306122445,55.17 %
60619,32.37252953556275,54.74 %
60637,32.363409174892666,54.31 %
60777,32.34924369747899,53.88 %
60644,32.23247877281227,53.45 %
59137,32.14493506493506,53.02 %
60837,32.00190476190476,52.59 %
60653,31.929247401557404,52.16 %
60639,31.859931184325575,51.72 %
58547,31.84707721050862,51.29 %
60601,31.602857142857143,50.86 %
49405,31.5535470065942,50.43 %
60584,31.53928571428571,50.00 %
60829,31.524076957215573,49.57 %
48721,31.45997298571473,49.14 %
40186,31.330012894196717,48.71 %
61715,31.307217273685815,48.28 %
50263,31.005357142857143,47.84 %
61406,30.946101575400927,47.41 %
60776,30.924305965703564,46.98 %
48025,30.865921245043115,46.55 %
60672,30.645659855379286,46.12 %
60698,30.634280037674717,45.69 %
60757,30.619831932773103,45.26 %
60641,30.476307040894685,44.83 %
60638,30.371542303152758,44.40 %
60696,30.310387012991754,43.97 %
61143,30.237234689594402,43.53 %
60761,30.178473667512765,43.10 %
61212,30.143809523809523,42.67 %
60692,30.116117209616373,42.24 %
60825,29.76092021053621,41.81 %
60679,29.70949498675108,41.38 %
60799,29.67724784467394,40.95 %
60788,29.60998288223781,40.52 %
60661,29.558186182930694,40.09 %
60585,29.395356347334836,39.66 %
58585,29.376623376623375,39.22 %
60651,29.285714285714285,38.79 %
60870,29.127612984034993,38.36 %
60636,28.88307283140668,37.93 %
60630,28.76407244194954,37.50 %
60835,28.72981414045156,37.07 %
60613,28.57142857142857,36.64 %
60774,28.320771750031316,36.21 %
