user_id,average_score,rank(percent)
50263,92.57142857142858,100 %
60768,90.21690476190476,99.53 %
60603,89.54697142857144,99.06 %
60778,89.17714285714287,98.59 %
58586,88.82335850792084,98.12 %
61048,88.07066941078781,97.65 %
60624,87.57617297486443,97.18 %
60635,87.47168777069719,96.71 %
60889,87.35112768058542,96.24 %
61019,87.25186082122119,95.77 %
60697,86.83447004608297,95.31 %
60750,85.41915913357465,94.84 %
60885,85.14605714285713,94.37 %
60777,85.10294031118677,93.90 %
60620,84.7634693877551,93.43 %
60759,83.91457969332087,92.96 %
61041,83.39787816560342,92.49 %
60608,83.33830994312352,92.02 %
60665,82.38919884609321,91.55 %
60724,81.71167263919062,91.08 %
60698,81.25993180600291,90.61 %
60757,79.63463489359374,90.14 %
60770,79.52277929517139,89.67 %
60661,79.15959305417373,89.20 %
60794,78.30413700251627,88.73 %
60589,78.05921911438017,88.26 %
60791,77.52213409887862,87.79 %
60764,76.65615950998946,87.32 %
60675,76.32153846153845,86.85 %
60723,76.17061286329351,86.38 %
60753,75.90599100337876,85.92 %
58547,75.90458367929885,85.45 %
60580,75.22081567232092,84.98 %
60649,74.70103679344928,84.51 %
60719,74.4044333610185,84.04 %
60727,74.39445402621493,83.57 %
60594,73.0109812835236,83.10 %
60742,72.35306122448979,82.63 %
60590,72.33621906701289,82.16 %
60637,72.23100122383282,81.69 %
39160,72.0040631068913,81.22 %
60876,71.76516995969907,80.75 %
60653,71.66215255942456,80.28 %
60598,71.39159432303269,79.81 %
59137,70.95631001453799,79.34 %
60756,70.90153375607501,78.87 %
60737,70.85281428560116,78.40 %
60640,70.30367346938775,77.93 %
60602,70.13489795918368,77.46 %
59308,69.77466761840476,77.00 %
60752,69.20432842729566,76.53 %
60900,69.13212693003896,76.06 %
60747,69.09662427560217,75.59 %
60673,69.09049863109885,75.12 %
60610,69.0673161279673,74.65 %
58822,68.78266801100612,74.18 %
60601,68.7015668202765,73.71 %
61020,68.601063440921,73.24 %
60676,68.02967289057617,72.77 %
60638,67.5845598885505,72.30 %
60591,67.18683549529851,71.83 %
60761,67.0078361108978,71.36 %
60614,66.01556126053843,70.89 %
49405,65.95750827909475,70.42 %
60774,65.80942183474271,69.95 %
60667,65.62451951753975,69.48 %
60585,65.46014239252877,69.01 %
61097,65.37948516113183,68.54 %
39200,64.97854656358066,68.08 %
61406,64.95417498838987,67.61 %
60891,64.48761904761905,67.14 %
60766,64.3224761904762,66.67 %
48102,63.687392357621604,66.20 %
61519,62.94998120020505,65.73 %
60769,62.83097340513775,65.26 %
60691,62.68154812019515,64.79 %
60795,62.331106604044265,64.32 %
60846,62.208794093876385,63.85 %
61135,62.06804656816744,63.38 %
60799,61.913780280348924,62.91 %
60720,61.62265454867198,62.44 %
60699,61.566271418162145,61.97 %
59018,61.04813597313739,61.50 %
60643,60.77408163265306,61.03 %
60734,60.5994049815606,60.56 %
60722,59.79792805141316,60.09 %
60896,59.565270867324514,59.62 %
60686,59.40727628094405,59.15 %
60835,58.42776282713858,58.69 %
60634,58.4160971874349,58.22 %
60788,57.83334002697525,57.75 %
60693,57.67535584258894,57.28 %
60669,57.452571428571424,56.81 %
60812,57.322287580103975,56.34 %
60710,57.278517465559524,55.87 %
60613,57.067570949899164,55.40 %
60717,56.717823114482826,54.93 %
8160,56.49224489795919,54.46 %
60641,56.04359403327317,53.99 %
58610,56.00285714285714,53.52 %
60644,55.866613014991486,53.05 %
60787,55.70972867517163,52.58 %
58778,55.590082130364,52.11 %
60617,54.9626876350872,51.64 %
60619,54.59836276939235,51.17 %
60692,54.39429353635701,50.70 %
58758,54.32945054945055,50.23 %
60833,54.20931461590377,49.77 %
60898,53.8011164889497,49.30 %
60773,53.6150443191476,48.83 %
60592,52.23143376410305,48.36 %
60706,51.63397464218033,47.89 %
60621,51.58893459998293,47.42 %
60671,51.40830738974168,46.95 %
39190,51.11714285714286,46.48 %
61659,50.897285565105975,46.01 %
60678,50.792882085983855,45.54 %
60618,50.765744360947714,45.07 %
60775,50.72991107313756,44.60 %
60792,50.12087735195249,44.13 %
60762,50.060531678748156,43.66 %
60733,49.53974670521755,43.19 %
60758,49.19887072755864,42.72 %
58634,49.08408167871792,42.25 %
60593,48.55528672010534,41.78 %
60715,48.4390356159038,41.31 %
60767,48.40472879729857,40.85 %
60721,48.33423069837072,40.38 %
61132,47.76742549423417,39.91 %
60605,47.6533904609028,39.44 %
60672,47.11401002488333,38.97 %
60771,47.000177723377774,38.50 %
60790,46.96163265306122,38.03 %
60825,46.09913610583376,37.56 %
60765,45.62872238533081,37.09 %
60647,45.10373341779737,36.62 %
60899,44.879999999999995,36.15 %
60631,44.83031499926567,35.68 %
60776,43.44537431073418,35.21 %
60581,43.343806824947315,34.74 %
60895,42.88226601892527,34.27 %
60604,42.01604317674419,33.80 %
48025,41.56779220779221,33.33 %
60839,41.54330418341524,32.86 %
60755,40.601357489029446,32.39 %
60730,40.526792554886526,31.92 %
47774,40.15458510428721,31.46 %
48721,40.147518215486265,30.99 %
60797,39.87237241146794,30.52 %
60731,39.56916869641234,30.05 %
60810,38.81427958785455,29.58 %
60829,38.791425456615364,29.11 %
60660,38.460364402939234,28.64 %
60781,37.72728931886717,28.17 %
60611,36.14258970949869,27.70 %
60760,34.84313939255259,27.23 %
58585,34.789216888467486,26.76 %
60870,34.69820062640415,26.29 %
60696,34.320205514389045,25.82 %
60705,33.65498019341586,25.35 %
60832,33.48068186776266,24.88 %
60595,32.81652993885987,24.41 %
60785,32.574238802148486,23.94 %
60587,31.966973482647237,23.47 %
61053,31.585793024700052,23.00 %
60716,31.25470149751234,22.54 %
60738,31.22302403509361,22.07 %
59140,30.875144226847205,21.60 %
60714,30.496322908501213,21.13 %
60648,30.31884553544548,20.66 %
49361,29.436632169002483,20.19 %
60606,29.423707136298347,19.72 %
60796,29.355152408019272,19.25 %
60793,28.121365946662763,18.78 %
40186,26.583794774385897,18.31 %
60622,26.34258082641307,17.84 %
60670,26.227022413095145,17.37 %
60772,25.683224617350373,16.90 %
47920,25.108883075123487,16.43 %
60739,24.151879699248116,15.96 %
60782,23.054364421266612,15.49 %
58575,19.046122448979588,15.02 %
16304,17.80467632462918,14.55 %
48083,16.89499118736849,14.08 %
60623,16.86821344939914,13.62 %
60657,16.239280056278936,13.15 %
47937,15.696723298270413,12.68 %
49687,15.423553938004792,12.21 %
47961,15.347947499309702,11.74 %
8318,15.184954680486426,11.27 %
60586,14.379633068373385,10.80 %
60668,13.493971976877235,10.33 %
8317,13.390016003213804,9.86 %
60599,12.70893390411575,9.39 %
60584,12.268571428571425,8.92 %
52592,12.08597742781521,8.45 %
60749,11.219237865689689,7.98 %
60625,11.109167245786162,7.51 %
60746,10.864285714285712,7.04 %
60836,10.840899017724176,6.57 %
61094,9.470064288889791,6.10 %
8246,8.091899126124877,5.63 %
58616,6.521428571428572,5.16 %
60725,2.5029975232160746,4.69 %
49823,1.76441331900604,4.23 %
60708,1.2162410456964972,3.76 %
60763,0.09286674832819507,3.29 %
60901,0.0,2.82 %
61035,0.0,2.82 %
39201,0.0,2.82 %
60666,0.0,2.82 %
60712,0.0,2.82 %
60628,0.0,2.82 %
