user_id,average_score,rank(percent)
60665,59.10126756247561,100 %
50263,55.42857142857143,99.55 %
60768,55.09785714285715,99.10 %
60603,54.34697142857142,98.65 %
60635,54.27986196291162,98.20 %
61097,53.73392188596481,97.75 %
60697,53.51649769585252,97.30 %
60885,52.83177142857143,96.85 %
60620,52.824693877551006,96.40 %
60759,52.663982448757125,95.95 %
60891,52.10666666666666,95.50 %
60778,52.03428571428571,95.05 %
60683,51.048120300751876,94.59 %
60589,50.00916426158036,94.14 %
60659,49.451428571428565,93.69 %
60791,49.31274644252434,93.24 %
60695,48.77382567162231,92.79 %
60889,48.524766081681385,92.34 %
61048,48.47692720093421,91.89 %
60690,48.29820397780163,91.44 %
61019,48.03719683365821,90.99 %
60794,47.70009314566487,90.54 %
61041,47.337070898003034,90.09 %
60764,47.26579936618974,89.64 %
58586,46.36860519802034,89.19 %
60777,46.26976776432647,88.74 %
60750,46.22291404268119,88.29 %
60698,46.12505168696134,87.84 %
60624,46.00183734405435,87.39 %
60753,45.82128805193021,86.94 %
60723,45.70536419485234,86.49 %
60608,45.144192115831615,86.04 %
60658,45.00389740703847,85.59 %
60649,44.10911940949103,85.14 %
60742,43.55204081632652,84.68 %
60724,43.04438924629284,84.23 %
60737,43.01875487160958,83.78 %
49405,42.80219391561202,83.33 %
60757,42.10890793021804,82.88 %
60900,42.04611555474626,82.43 %
60675,41.953406593406584,81.98 %
60747,41.90371148587187,81.53 %
60756,41.65776984299273,81.08 %
58547,41.63869150704083,80.63 %
60752,41.11499718201874,80.18 %
60673,40.96315507611657,79.73 %
60770,40.721502226880936,79.28 %
60602,40.69612244897959,78.83 %
60661,40.21825222490851,78.38 %
60610,40.153579046633794,77.93 %
60799,39.95482355526405,77.48 %
60598,39.79257117715787,77.03 %
60676,39.303707845356165,76.58 %
60614,39.25272269965553,76.13 %
60653,39.139503930934524,75.68 %
61406,39.125590037430364,75.23 %
60686,38.903249959142876,74.77 %
60667,38.31169795018016,74.32 %
60594,38.170945356293444,73.87 %
59137,37.95610250597787,73.42 %
60590,37.697494017326,72.97 %
60652,37.601251441538075,72.52 %
59308,37.47801623021126,72.07 %
60699,37.22110811219054,71.62 %
60876,36.928634624713744,71.17 %
60691,36.82728030309601,70.72 %
60769,36.601266086470304,70.27 %
59018,36.5862171244214,69.82 %
60637,36.523341692243186,69.37 %
60634,36.45766760333203,68.92 %
60812,36.36539482346834,68.47 %
39160,36.10477943167096,68.02 %
61135,35.99776184761241,67.57 %
60788,35.73450556402261,67.12 %
60896,35.456513210246335,66.67 %
60669,35.16685714285715,66.22 %
60640,35.15061224489796,65.77 %
60727,35.04037031611336,65.32 %
60720,34.98941887868794,64.86 %
60619,34.60271477509474,64.41 %
60703,34.53592072433055,63.96 %
60846,34.400312791249135,63.51 %
48102,34.09068769589718,63.06 %
58822,34.046734288205855,62.61 %
60719,33.926655237007786,62.16 %
60761,33.908205958569,61.71 %
60787,33.64390465697695,61.26 %
60795,33.24304977428857,60.81 %
60722,33.17171203561188,60.36 %
60638,33.137630831153594,59.91 %
60585,32.70548827911044,59.46 %
60774,32.6750605710503,59.01 %
60833,32.63897621657483,58.56 %
60734,32.546172311045005,58.11 %
39190,32.54571428571428,57.66 %
61519,32.49578712857296,57.21 %
60621,32.428084348369126,56.76 %
60835,32.396087050644994,56.31 %
60692,32.11202205315024,55.86 %
60644,32.07451924789051,55.41 %
60773,31.946222131070453,54.95 %
60642,31.92038366654169,54.50 %
60775,31.69385629102315,54.05 %
60766,31.596285714285713,53.60 %
60733,31.276658721501917,53.15 %
60636,31.08582518013026,52.70 %
60672,31.064797531179472,52.25 %
60613,30.89239152680568,51.80 %
60618,30.823696005515544,51.35 %
60693,30.82348829361344,50.90 %
39200,30.695000707813183,50.45 %
61020,30.028017966985484,50.00 %
60641,29.881019590679838,49.55 %
61132,29.695776676022497,49.10 %
60678,29.648901097328956,48.65 %
58778,29.413096194153784,48.20 %
60717,29.382763430020596,47.75 %
60604,29.250871244935315,47.30 %
60706,29.189713777886418,46.85 %
60762,29.182237133432867,46.40 %
60694,29.177464630430432,45.95 %
60710,29.073877496933367,45.50 %
60631,29.02278453181742,45.05 %
