user_id,all_score,rank(percent)
60759,9311.483789007005,100 %
60620,9143.137880976494,99.61 %
60589,8924.60947011988,99.22 %
60658,8914.444137179456,98.83 %
60695,8898.887969125397,98.44 %
60885,8789.663442219118,98.05 %
60690,8780.976349335058,97.66 %
60764,8720.45550464703,97.27 %
60697,8667.56824860136,96.88 %
60603,8626.165960206883,96.48 %
60768,8559.630220796898,96.09 %
60756,8498.510637795396,95.70 %
60742,8396.704913494243,95.31 %
60667,8203.020284495788,94.92 %
60686,8026.180866952294,94.53 %
60723,8015.490565393625,94.14 %
60699,7890.051762571,93.75 %
60635,7761.822659980853,93.36 %
60602,7716.75002978377,92.97 %
61135,7666.80185488582,92.58 %
60720,7659.756099228665,92.19 %
60791,7632.771429715211,91.80 %
60747,7560.244055828543,91.41 %
60781,7538.605032786954,91.02 %
60649,7475.529632830022,90.62 %
60683,7465.353267426888,90.23 %
60706,7444.881447795031,89.84 %
60691,7394.035017622344,89.45 %
60750,7388.102003495541,89.06 %
60724,7354.199366639538,88.67 %
60610,7308.671586715955,88.28 %
60733,7295.771286361219,87.89 %
60753,7271.608810581813,87.50 %
60773,7242.605629626043,87.11 %
60673,7189.647811518895,86.72 %
60614,7184.798243060475,86.33 %
60598,7033.838387156598,85.94 %
60634,7030.97916294219,85.55 %
60738,6998.622551886547,85.16 %
61019,6970.25070353968,84.77 %
60737,6962.926064188716,84.38 %
60900,6796.5394734661195,83.98 %
60698,6740.538844697901,83.59 %
60676,6689.740629118169,83.20 %
60889,6679.644357356636,82.81 %
60608,6642.154199219348,82.42 %
60653,6627.559070065188,82.03 %
60790,6620.132009087923,81.64 %
60621,6597.163349737603,81.25 %
61406,6557.857011336044,80.86 %
60812,6555.660963639588,80.47 %
60752,6551.00812462225,80.08 %
59308,6550.351492609036,79.69 %
49405,6514.275756235427,79.30 %
60777,6506.786868374936,78.91 %
60606,6498.139571115492,78.52 %
60619,6475.676898102368,78.12 %
58586,6420.831027303304,77.73 %
60644,6420.579861830709,77.34 %
60722,6392.407537533199,76.95 %
60652,6324.027357491117,76.56 %
58547,6314.87363577063,76.17 %
60787,6293.918749103872,75.78 %
60832,6291.567396923048,75.39 %
60661,6269.784830427249,75.00 %
60766,6222.2643717162,74.61 %
60631,6165.274077971598,74.22 %
60876,6149.533992907293,73.83 %
60637,6109.250730823041,73.44 %
60870,6087.002587667753,73.05 %
39200,6077.55060733274,72.66 %
60594,6056.1481222934835,72.27 %
58758,6042.47338463039,71.88 %
60730,6041.629980945187,71.48 %
60703,6015.477122586696,71.09 %
61048,6009.115416270846,70.70 %
60771,5993.842555699216,70.31 %
60757,5941.986057003222,69.92 %
61132,5908.605189875194,69.53 %
60721,5890.214374471453,69.14 %
60585,5885.333405589712,68.75 %
61041,5885.22470349455,68.36 %
59137,5875.133690989578,67.97 %
60590,5845.424468972372,67.58 %
60833,5815.781988240334,67.19 %
60638,5813.438113895614,66.80 %
60835,5786.449843247793,66.41 %
60846,5769.490008776092,66.02 %
58610,5742.006462336792,65.62 %
60692,5723.824777534144,65.23 %
39160,5723.749934285887,64.84 %
60895,5715.556289235744,64.45 %
48102,5673.405006855304,64.06 %
60641,5632.110236040283,63.67 %
60799,5631.724852312478,63.28 %
58822,5621.569127282626,62.89 %
60671,5618.150138212798,62.50 %
60755,5597.1810121760955,62.11 %
60775,5548.472350795207,61.72 %
60625,5538.355135411414,61.33 %
60770,5505.462923503718,60.94 %
59018,5457.565364530993,60.55 %
58575,5429.995968109315,60.16 %
60624,5374.621916591755,59.77 %
60795,5367.700772718829,59.38 %
60693,5363.987612865834,58.98 %
60678,5363.4157106166995,58.59 %
60774,5359.87443513485,58.20 %
60767,5345.961323032861,57.81 %
60765,5313.930718881384,57.42 %
60694,5291.595145675541,57.03 %
60762,5285.887206893137,56.64 %
60581,5271.976940367725,56.25 %
59140,5228.081421883713,55.86 %
8160,5223.514844938974,55.47 %
60829,5194.637924330786,55.08 %
58778,5160.237540554304,54.69 %
60792,5156.529653972373,54.30 %
60688,5125.492380945092,53.91 %
60604,5125.463386349719,53.52 %
60776,5118.563785285313,53.12 %
60636,5107.768445782394,52.73 %
60734,5103.03191891271,52.34 %
60899,5089.2144637709835,51.95 %
60632,5073.149056142998,51.56 %
49361,5059.768910235622,51.17 %
60696,5048.589462642381,50.78 %
60617,5014.36047672831,50.39 %
60715,5001.095131499482,50.00 %
60717,4995.46139289806,49.61 %
60761,4994.257964730519,49.22 %
60758,4977.813044963768,48.83 %
60797,4956.6156262565855,48.44 %
60794,4933.697650448546,48.05 %
60788,4920.238635913833,47.66 %
60647,4917.3357712629495,47.27 %
61053,4914.74681971285,46.88 %
60731,4908.198003900581,46.48 %
60716,4887.9582358163725,46.09 %
60891,4885.123880862053,45.70 %
60622,4876.354765377347,45.31 %
60898,4849.593584083103,44.92 %
60587,4843.700841352429,44.53 %
61046,4827.424649577423,44.14 %
47329,4733.238397741519,43.75 %
61519,4708.113281287126,43.36 %
60727,4661.73795615467,42.97 %
60896,4640.938654478285,42.58 %
60739,4616.24902233979,42.19 %
60611,4599.676600746628,41.80 %
60665,4564.839116833494,41.41 %
60769,4491.943109882838,41.02 %
60657,4487.5783365814295,40.62 %
60714,4427.8150557405725,40.23 %
60593,4366.229379213612,39.84 %
60660,4322.390845357268,39.45 %
60670,4318.851889469257,39.06 %
60705,4297.603052791512,38.67 %
60839,4286.247761468178,38.28 %
60599,4286.238536127057,37.89 %
47774,4264.259269318499,37.50 %
60719,4188.085904166592,37.11 %
60618,4171.27034955696,36.72 %
60639,4160.0760535077525,36.33 %
60793,4098.006224023466,35.94 %
60763,4007.4801078046844,35.55 %
60710,3959.6908180546466,35.16 %
58634,3941.2567976755904,34.77 %
60675,3918.5899345701105,34.38 %
60810,3899.14653866512,33.98 %
60643,3889.489223448226,33.59 %
60668,3874.1992127747258,33.20 %
48117,3813.967271217067,32.81 %
60796,3810.62687034026,32.42 %
60627,3808.5565212944,32.03 %
8318,3739.9144416052823,31.64 %
16304,3726.822226081084,31.25 %
49687,3725.9605703448865,30.86 %
60642,3679.8022165367574,30.47 %
60760,3658.8098019337685,30.08 %
60605,3641.7762440852944,29.69 %
60595,3626.7488612852126,29.30 %
60648,3615.8319780057095,28.91 %
8317,3542.3514207446033,28.52 %
47937,3540.85102913965,28.12 %
8246,3498.1897423800397,27.73 %
48083,3495.286034969062,27.34 %
52592,3480.439234239833,26.95 %
60751,3459.5305833158427,26.56 %
60712,3452.0023938029385,26.17 %
60825,3426.231784879725,25.78 %
58616,3422.7225933602535,25.39 %
60785,3397.4621227392104,25.00 %
60677,3323.6021230251486,24.61 %
60640,3277.882829953748,24.22 %
60586,3215.480775278254,23.83 %
47920,3211.7152317968503,23.44 %
48721,3178.0272694357777,23.05 %
60749,3073.2196319376967,22.66 %
47961,3042.684445453122,22.27 %
60778,3039.48352002662,21.88 %
48025,3037.733675146731,21.48 %
60669,2956.978759391555,21.09 %
60708,2854.930459952106,20.70 %
58585,2853.6754410108188,20.31 %
60654,2812.1159809428955,19.92 %
47996,2811.7657142857147,19.53 %
60672,2800.6801987838494,19.14 %
61094,2797.9544339241015,18.75 %
50263,2760.887301461479,18.36 %
40186,2749.809415715342,17.97 %
60772,2748.8892356690217,17.58 %
60662,2747.971830695954,17.19 %
60616,2738.5433592827917,16.80 %
61020,2640.858700885101,16.41 %
60651,2535.147924308956,16.02 %
60707,2495.6914964233083,15.62 %
60628,2282.984919495523,15.23 %
60623,2138.238635650223,14.84 %
60901,2005.987337135751,14.45 %
60837,1901.2826690247678,14.06 %
60666,1881.9156315904095,13.67 %
60659,1685.102812486557,13.28 %
60827,1543.1274369063037,12.89 %
60615,1499.6196731502805,12.50 %
60782,1497.8493716656826,12.11 %
60828,1433.1380936010235,11.72 %
60613,1227.4850641369642,11.33 %
60630,1088.0565362405503,10.94 %
39190,1088.0208831822495,10.55 %
58744,1061.8611028947437,10.16 %
61097,1021.1677248297865,9.77 %
61715,948.7150933292215,9.38 %
61106,838.9590084682739,8.98 %
48090,638.7699130412407,8.59 %
61143,636.276928145174,8.20 %
60725,538.0397022306821,7.81 %
60584,505.1433422399377,7.42 %
39021,496.3778113976307,7.03 %
58834,488.74179239423904,6.64 %
60836,478.153174994117,6.25 %
58865,451.2988585560983,5.86 %
60746,427.650903705335,5.47 %
60728,230.8676772319901,5.08 %
47879,160.77920520980922,4.69 %
51584,117.01493773393979,4.30 %
60713,108.1142857142857,3.91 %
3544,78.82176032135979,3.52 %
49315,22.651428571428568,3.12 %
40552,19.839999999999996,2.73 %
60689,18.57142857142857,2.34 %
60822,13.71428571428571,1.95 %
60583,8.951999999999998,1.56 %
61035,0.0,1.17 %
61074,0.0,1.17 %
39201,0.0,1.17 %
