user_id,average_score,rank(percent)
60589,72.17999999999999,100 %
61019,67.85,99.55 %
60768,66.98642857142856,99.09 %
60724,64.28571428571428,98.64 %
60885,63.42628596146373,98.18 %
61132,60.47942864832337,97.73 %
60686,56.53164986309883,97.27 %
60603,54.84380952380952,96.82 %
60630,54.285714285714285,96.36 %
60720,52.727655427963875,95.91 %
60679,52.06285714285714,95.45 %
60750,52.00939056420028,95.00 %
60690,51.208826319285244,94.55 %
60773,48.04048991950738,94.09 %
60624,48.037142857142854,93.64 %
60766,47.45971447109781,93.18 %
48102,47.394285714285715,92.73 %
49405,46.84115282408427,92.27 %
60658,46.76644674188814,91.82 %
60794,45.80575870876755,91.36 %
58758,45.36857142857142,90.91 %
60620,45.2951793164002,90.45 %
60738,44.13894611759209,90.00 %
60639,43.28,89.55 %
60637,42.46895259723315,89.09 %
60899,41.61314545251216,88.64 %
60587,41.21810864711092,88.18 %
60691,41.04923716697862,87.73 %
60764,41.036899197969205,87.27 %
60791,39.25527243994204,86.82 %
60889,39.21292223322371,86.36 %
60898,39.14285714285714,85.91 %
58547,38.992284968384475,85.45 %
58586,38.731411552795585,85.00 %
61041,38.379999999999995,84.55 %
60781,38.13872449256478,84.09 %
39200,38.06594794320319,83.64 %
60662,37.43716228244475,83.18 %
60896,37.229132143112956,82.73 %
60733,36.53273543541163,82.27 %
60756,36.41363320921179,81.82 %
60580,36.01758127004205,81.36 %
60742,35.28965862605375,80.91 %
60787,35.26877551020408,80.45 %
60601,35.10680756200842,80.00 %
60699,34.94927732143796,79.55 %
60747,34.86541589776147,79.09 %
59018,34.73428609930037,78.64 %
60751,34.457142857142856,78.18 %
60667,34.410286313217085,77.73 %
60777,34.197443088259185,77.27 %
39160,33.607561327024484,76.82 %
60759,33.6002037714591,76.36 %
60598,33.41746957313862,75.91 %
60757,33.39017561619963,75.45 %
60621,33.37325202900863,75.00 %
60635,32.810014243985414,74.55 %
60683,32.75085266744973,74.09 %
60697,32.6021978021978,73.64 %
60614,32.552445721303684,73.18 %
60677,32.46347534752817,72.73 %
59308,32.28073487926107,72.27 %
47996,31.827936507936506,71.82 %
60719,31.601537945468856,71.36 %
60776,31.541637678425573,70.91 %
60676,31.446470639659694,70.45 %
60673,30.861263763596796,70.00 %
60665,30.76870049835038,69.55 %
60594,30.70142857142857,69.09 %
60591,30.573318880962468,68.64 %
60698,30.487374544219694,68.18 %
61659,30.39673469387755,67.73 %
60737,30.393988228936507,67.27 %
60771,30.389795918367344,66.82 %
60753,30.311776098570927,66.36 %
60710,30.158775510204077,65.91 %
60661,29.96489795918367,65.45 %
60615,29.84975646363607,65.00 %
60602,29.600816326530612,64.55 %
61135,29.458775510204077,64.09 %
60792,29.342448979591836,63.64 %
60799,29.10001476103667,63.18 %
60694,29.035415145206322,62.73 %
60606,28.97173747816919,62.27 %
60585,28.502040816326524,61.82 %
60641,28.409288930076766,61.36 %
60755,28.274850145192183,60.91 %
60706,28.197142857142858,60.45 %
60739,27.55330649321602,60.00 %
60846,27.2724649417847,59.55 %
60717,27.074138262662213,59.09 %
60617,27.01879878095098,58.64 %
60610,26.517904020852082,58.18 %
60653,26.449557881055586,57.73 %
59137,26.391251118829377,57.27 %
60634,26.289251700680264,56.82 %
60593,25.980542609403333,56.36 %
58575,25.632857142857137,55.91 %
60788,25.291037393559844,55.45 %
47774,25.282768527993333,55.00 %
60608,25.13558441558441,54.55 %
60631,24.96175588856585,54.09 %
52592,24.912142857142854,53.64 %
60767,24.907738421698305,53.18 %
58610,24.51142857142857,52.73 %
60695,24.46857142857143,52.27 %
60760,24.446145679166374,51.82 %
61406,24.435487010142207,51.36 %
60722,23.692190138748806,50.91 %
60590,23.650002763600558,50.45 %
60723,23.401950050213138,50.00 %
60640,23.006649858773716,49.55 %
60671,22.973779853664514,49.09 %
60832,22.71614023615205,48.64 %
60638,22.59799024664601,48.18 %
60752,22.474011084641365,47.73 %
60770,22.23523767375802,47.27 %
60734,21.843024507336093,46.82 %
60876,21.804063515944325,46.36 %
60647,21.714733878648524,45.91 %
60870,21.618639158600114,45.45 %
60660,21.056797170007894,45.00 %
60758,20.976094492193997,44.55 %
60672,20.945714285714285,44.09 %
60604,20.91263300387134,43.64 %
60668,20.901102839211458,43.18 %
60643,20.543809523809525,42.73 %
60622,20.537610118647653,42.27 %
60769,20.419333284088516,41.82 %
60715,20.390682133959782,41.36 %
60652,20.224126984126983,40.91 %
60721,20.03044315631444,40.45 %
60670,19.661097710495593,40.00 %
60636,19.54607920908041,39.55 %
60648,19.518573521360324,39.09 %
47961,19.450034208232662,38.64 %
49361,19.166711639316404,38.18 %
60797,18.840634115947207,37.73 %
60654,18.706135864702933,37.27 %
60716,18.5590286433626,36.82 %
60599,18.497796289134385,36.36 %
60795,18.220570956259177,35.91 %
48721,18.07767857142857,35.45 %
60761,17.988939730360894,35.00 %
60731,17.948095238095238,34.55 %
60669,17.822857142857142,34.09 %
60619,17.77085208907862,33.64 %
59140,17.372857142857143,33.18 %
60837,17.281138814296988,32.73 %
58822,17.136190476190478,32.27 %
60782,17.06660456635923,31.82 %
58778,17.02977255899884,31.36 %
60746,16.745714285714286,30.91 %
60592,16.54727601215579,30.45 %
60678,16.46255928628452,30.00 %
60703,16.43908509809981,29.55 %
60895,16.430787220774867,29.09 %
60586,16.384007080585665,28.64 %
60692,16.14890679319865,28.18 %
60812,16.116908731330636,27.73 %
61053,16.11337347832711,27.27 %
60866,16.09660925385619,26.82 %
60625,16.04,26.36 %
61143,15.71428571428571,25.91 %
58585,15.554791078522031,25.45 %
60727,15.343564802347185,25.00 %
40186,15.104779468221466,24.55 %
60762,14.935487437464825,24.09 %
60825,14.880590659809362,23.64 %
60693,14.748562669425995,23.18 %
60829,14.70937588081163,22.73 %
47937,14.47313080175339,22.27 %
58634,14.12238095238095,21.82 %
58616,13.778095238095238,21.36 %
60618,13.349652167723416,20.91 %
60772,13.204367603018232,20.45 %
48117,13.10030706241204,20.00 %
60605,13.04341664737311,19.55 %
60688,13.032831875075912,19.09 %
60657,12.792857142857143,18.64 %
60696,12.703631559756912,18.18 %
60623,12.388405020492478,17.73 %
60705,12.348221394569387,17.27 %
47920,12.315603059244761,16.82 %
60649,12.02989010989011,16.36 %
60581,11.929223446153102,15.91 %
60632,11.91760391804692,15.45 %
60833,11.06789444732585,15.00 %
60778,10.73315931429915,14.55 %
60611,10.649303923073417,14.09 %
60644,9.883076923076922,13.64 %
48025,9.818412698412697,13.18 %
48090,9.69295324607548,12.73 %
60790,9.26082657497962,12.27 %
60775,8.864084652615466,11.82 %
60708,8.662928047850993,11.36 %
49687,8.627657488906383,10.91 %
60796,8.39883976164936,10.45 %
60900,8.029161774322741,10.00 %
61094,8.024350008644221,9.55 %
60595,7.753628363850227,9.09 %
60765,7.5070191401720345,8.64 %
60793,7.3670329670329675,8.18 %
60785,7.183562515290651,7.73 %
48083,6.877215723183549,7.27 %
60774,6.577648221379178,6.82 %
60835,6.5135648418499335,6.36 %
60712,6.340513569494378,5.91 %
60666,5.152102526713481,5.45 %
49823,4.534139439568545,5.00 %
60749,3.879063428734746,4.55 %
60627,2.8361279008854963,4.09 %
60763,2.292597864342704,3.64 %
60730,1.6448992258726371,3.18 %
60725,0.5590062111801241,2.73 %
51584,0.0,2.27 %
60707,0.0,2.27 %
60901,0.0,2.27 %
61074,0.0,2.27 %
60675,0.0,2.27 %
