user_id,average_score,rank(percent)
60591,40.4573822334918,100 %
60667,40.43506426415051,99.57 %
60580,40.25023361305619,99.14 %
60810,40.03145035201089,98.71 %
60686,39.87717693036102,98.28 %
60697,39.433015873015876,97.85 %
60606,39.38542857142856,97.42 %
60723,39.33211246546215,97.00 %
60699,39.00986053388872,96.57 %
60781,38.9334982361397,96.14 %
60634,38.60785714285714,95.71 %
61019,38.38568503352714,95.28 %
60676,38.37906487326934,94.85 %
60695,38.197084548104954,94.42 %
60759,38.11025720691348,93.99 %
60791,37.45881808245382,93.56 %
60635,37.249842250889046,93.13 %
61048,37.00891677316391,92.70 %
60885,36.765798745243416,92.27 %
60601,36.69969019846602,91.85 %
60891,36.465102131903805,91.42 %
60794,36.41277404279051,90.99 %
60812,36.257004235665676,90.56 %
60832,36.19206722726627,90.13 %
48102,36.19158448767533,89.70 %
58758,36.110360053192316,89.27 %
60737,35.98036007803847,88.84 %
60649,35.96590859129651,88.41 %
59308,35.878621047847055,87.98 %
60773,35.80757142857142,87.55 %
60768,35.58080981404212,87.12 %
47329,35.26312295669209,86.70 %
60870,35.24389548821223,86.27 %
60630,35.191935354733104,85.84 %
61046,35.118029190796975,85.41 %
60683,35.09348565812337,84.98 %
60889,35.06089558894089,84.55 %
60755,34.944500237466826,84.12 %
60691,34.898790063760465,83.69 %
60747,34.74238406523014,83.26 %
60592,34.565175996664934,82.83 %
60899,34.54139874266532,82.40 %
60690,34.414141117436486,81.97 %
61053,34.39087534579,81.55 %
61097,34.35142857142857,81.12 %
60698,34.32992575260244,80.69 %
60828,34.23115916415448,80.26 %
60756,34.07285718556137,79.83 %
60616,33.9341965556019,79.40 %
60752,33.92277368562142,78.97 %
60610,33.76223165921845,78.54 %
60631,33.60756946136956,78.11 %
60715,33.58851292419714,77.68 %
60678,33.58239889746847,77.25 %
49405,33.56382872514559,76.82 %
60720,33.53559881657455,76.39 %
60750,33.50199390965224,75.97 %
60639,33.5007354130973,75.54 %
60604,33.475204836409524,75.11 %
60614,33.47079490677534,74.68 %
60598,33.468865473232015,74.25 %
60724,33.44757094298806,73.82 %
60619,33.36799130743894,73.39 %
60644,33.34472186553305,72.96 %
60624,33.30343218727766,72.53 %
60673,33.18702085894879,72.10 %
60658,33.04858633289751,71.67 %
61406,33.0002359270905,71.24 %
39021,32.6135716065057,70.82 %
60764,32.60572558668282,70.39 %
60895,32.4909478668301,69.96 %
60589,32.41021152817445,69.53 %
60751,32.35674238003786,69.10 %
60835,32.3207822561657,68.67 %
60661,32.29951780793755,68.24 %
60620,32.27789985471745,67.81 %
60900,32.25367797965373,67.38 %
60833,32.14428944799134,66.95 %
60876,32.09556588055068,66.52 %
60603,31.855960378808636,66.09 %
60706,31.80822856188578,65.67 %
60767,31.583423597248046,65.24 %
60757,31.56557573972374,64.81 %
60776,31.56122920631815,64.38 %
60769,31.519519955963094,63.95 %
50263,31.487457213440596,63.52 %
60778,31.471817342146185,63.09 %
60777,31.38793711447408,62.66 %
61659,31.231963678412363,62.23 %
61212,31.114272425842103,61.80 %
60692,31.048814336792685,61.37 %
60775,30.98720021753393,60.94 %
60608,30.92553163705312,60.52 %
60799,30.912335907032844,60.09 %
60653,30.883566166693637,59.66 %
60733,30.859682315409394,59.23 %
60722,30.798743946176955,58.80 %
60846,30.690294636411693,58.37 %
60772,30.626774303120065,57.94 %
60585,30.48700110394419,57.51 %
60730,30.19378866447478,57.08 %
60790,30.12288900426478,56.65 %
60898,30.067175759967714,56.22 %
60829,30.011916437877925,55.79 %
60696,29.979143460436386,55.36 %
60766,29.914122448979594,54.94 %
60721,29.908080850335526,54.51 %
61135,29.887229824143034,54.08 %
60602,29.86540172322628,53.65 %
60641,29.818578638539098,53.22 %
60901,29.817977034679593,52.79 %
60638,29.81374286891195,52.36 %
60659,29.75882986697203,51.93 %
60665,29.73121859378,51.50 %
58547,29.668018577899396,51.07 %
60654,29.550708136744664,50.64 %
60590,29.52490532465789,50.21 %
60763,29.3560734006026,49.79 %
61041,29.352957664757525,49.36 %
34511,29.339999999999996,48.93 %
60714,29.305311218994092,48.50 %
39200,29.230782073587594,48.07 %
60788,29.180576601711525,47.64 %
61519,28.911871423261495,47.21 %
60753,28.778237862649675,46.78 %
60738,28.76454492054766,46.35 %
60742,28.71116987616205,45.92 %
60657,28.638910091028258,45.49 %
60587,28.57540233878355,45.06 %
58610,28.387740040964868,44.64 %
60675,28.247020408163262,44.21 %
