user_id,average_score,rank(percent)
60885,70.74135106596987,100 %
61019,61.746981081260444,99.57 %
60620,58.14,99.14 %
51584,56.80571428571428,98.71 %
60756,56.072301781617696,98.28 %
60686,55.285680838534915,97.84 %
60764,55.28023297270504,97.41 %
60829,53.89660572661244,96.98 %
60768,53.768814242069276,96.55 %
60720,53.103877693450386,96.12 %
60697,52.47519925812154,95.69 %
60742,52.14698412698412,95.26 %
60724,52.14140819276757,94.83 %
60616,52.09320235625043,94.40 %
49405,51.113909965790356,93.97 %
60602,50.627557110804176,93.53 %
60896,50.18467915755329,93.10 %
60752,50.121064956549944,92.67 %
60791,50.09483537039054,92.24 %
60759,50.01710039794746,91.81 %
60613,49.90453791425172,91.38 %
60591,49.807622628160516,90.95 %
60580,49.432131756860485,90.52 %
60639,49.05625473474815,90.09 %
60812,48.526668609028604,89.66 %
61135,48.498852533738784,89.22 %
60635,48.435561656617075,88.79 %
60750,47.165281047300844,88.36 %
60828,47.03423353303696,87.93 %
60606,46.824047863223576,87.50 %
60603,46.62491434123042,87.07 %
60733,46.5703243601662,86.64 %
60699,46.439149106230616,86.21 %
60589,45.848779726559236,85.78 %
60649,44.90698412698412,85.34 %
60723,44.577763019439736,84.91 %
48102,44.47820843102078,84.48 %
60631,43.42185285633038,84.05 %
60738,42.58191582429529,83.62 %
60753,42.394337338158216,83.19 %
60781,42.27816369692457,82.76 %
60610,41.73397208657921,82.33 %
60773,41.729820255228816,81.90 %
60889,41.6374106169819,81.47 %
60614,41.53506719610092,81.03 %
60747,40.901449686892924,80.60 %
60715,40.782809796754094,80.17 %
60794,40.64831020945148,79.74 %
60757,40.18276501914132,79.31 %
60895,40.07441541867081,78.88 %
60665,40.019057049625495,78.45 %
60634,39.75462596557407,78.02 %
61048,39.7336207187501,77.59 %
60604,39.59512972080698,77.16 %
60601,39.38898321632684,76.72 %
60698,38.91811212949782,76.29 %
60598,38.89302852349647,75.86 %
60846,38.88005249783669,75.43 %
