user_id,average_score,rank(percent)
61097,90.27714285714285,100 %
60768,69.35083151155098,99.57 %
60690,65.67999999999999,99.14 %
60603,64.81249453465293,98.71 %
60695,64.18642857142858,98.28 %
60620,63.087142857142865,97.84 %
61135,61.864999999999995,97.41 %
60658,61.59475448741458,96.98 %
60683,59.25999999999999,96.55 %
60602,58.32626498318356,96.12 %
60652,58.20376070227396,95.69 %
60589,54.09857142857143,95.26 %
60659,52.60097220983056,94.83 %
60900,49.525,94.40 %
61019,48.081428571428575,93.97 %
60773,47.96380952380952,93.53 %
60676,47.149047619047614,93.10 %
60737,46.3448624494508,92.67 %
60621,46.1111920714699,92.24 %
60787,45.543517283392354,91.81 %
60635,44.11898580250318,91.38 %
60634,43.749047619047616,90.95 %
60896,43.08935064935064,90.52 %
60642,42.43543460718584,90.09 %
60673,42.107532467532465,89.66 %
60794,41.5946019600816,89.22 %
47996,40.52628571428571,88.79 %
60625,40.458571428571425,88.36 %
61132,40.39567019239437,87.93 %
61519,40.32656004073465,87.50 %
60580,40.172115592435354,87.07 %
60662,40.11485714285713,86.64 %
60833,39.62617628004763,86.21 %
60703,39.60355322008937,85.78 %
60885,39.29857142857143,85.34 %
60790,39.230412911577034,84.91 %
39200,39.07259925761473,84.48 %
60747,38.95190476190476,84.05 %
60694,38.876531109460004,83.62 %
60591,38.712870461242524,83.19 %
61048,38.50012987012986,82.76 %
49361,38.42493506493506,82.33 %
58610,38.34789596689172,81.90 %
58758,38.08806722689075,81.47 %
60781,37.962380952380954,81.03 %
60699,37.87415300205324,80.60 %
60594,37.59376623376623,80.17 %
58575,37.49269752940999,79.74 %
59140,37.37828571428571,79.31 %
60649,37.28478552590469,78.88 %
60812,37.21770031392574,78.45 %
47774,37.121573469090485,78.02 %
60791,36.92034228349171,77.59 %
60723,36.915316245795886,77.16 %
60691,36.83026709881384,76.72 %
60775,36.81604222977985,76.29 %
60715,36.72706849884966,75.86 %
48102,36.4842971042048,75.43 %
58586,36.295294932007394,75.00 %
60895,36.15679570188925,74.57 %
60693,36.13610389610389,74.14 %
60624,36.12929622937157,73.71 %
39160,36.02753246753247,73.28 %
60755,35.878319327731084,72.84 %
60586,35.73689436316763,72.41 %
60889,35.71165346126798,71.98 %
60632,35.70152817136858,71.55 %
60610,35.51569610924261,71.12 %
60667,35.392591782911545,70.69 %
58822,35.3589935132219,70.26 %
60758,35.30579556607037,69.83 %
60598,35.2181512605042,69.40 %
60697,35.202663699727744,68.97 %
60762,35.19842145248484,68.53 %
60750,35.05864573505349,68.10 %
60606,35.048519551670175,67.67 %
60614,34.820541640385265,67.24 %
52592,34.749077421844845,66.81 %
60891,34.64035458612768,66.38 %
60721,34.238099017813475,65.95 %
60770,34.10374082579285,65.52 %
60688,34.03813637152233,65.09 %
60604,33.935428571428574,64.66 %
47920,33.87224806476672,64.22 %
8160,33.75012987012987,63.79 %
60587,33.479887936429705,63.36 %
60611,33.461441382710426,62.93 %
60719,33.329523809523806,62.50 %
60752,33.200210830530594,62.07 %
60717,33.138614799693066,61.64 %
60876,33.07865546218487,61.21 %
60657,33.02420168067227,60.78 %
61659,32.75469387755102,60.34 %
60769,32.73275030015635,59.91 %
60899,32.71428571428571,59.48 %
59308,32.6598319327731,59.05 %
60615,32.56681883092175,58.62 %
60608,32.490707424096875,58.19 %
60710,32.463265306122445,57.76 %
60619,32.407500787826955,57.33 %
60637,32.368344162572555,56.90 %
60777,32.34924369747899,56.47 %
60644,32.232461451082024,56.03 %
59137,32.14493506493506,55.60 %
60837,32.00190476190476,55.17 %
60653,31.936903913302757,54.74 %
60639,31.88723816943614,54.31 %
58547,31.85344387935562,53.88 %
60601,31.602857142857143,53.45 %
49405,31.58704910661375,53.02 %
60829,31.564630978287415,52.59 %
60584,31.53928571428571,52.16 %
48721,31.462440479554676,51.72 %
60760,31.359627128446135,51.29 %
40186,31.355093109765434,50.86 %
61715,31.307005914069165,50.43 %
50263,31.005357142857143,50.00 %
61406,30.968720268933733,49.57 %
60776,30.926578736121677,49.14 %
48025,30.867665969949254,48.71 %
60665,30.808571428571426,48.28 %
60686,30.753040714821164,47.84 %
60672,30.647459102938743,47.41 %
60698,30.636373567348734,46.98 %
60757,30.619831932773103,46.55 %
60641,30.49555753000728,46.12 %
60638,30.377741025309735,45.69 %
60696,30.323920069668286,45.26 %
